"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","111.06","111.70","109.76","111.06","111.06","5,576,600","PEP"
"2","Feb 15, 2018","109.53","111.04","108.72","110.97","110.97","5,125,200","PEP"
"3","Feb 14, 2018","111.67","111.90","108.76","109.11","109.11","7,702,700","PEP"
"4","Feb 13, 2018","112.00","112.67","110.68","112.14","112.14","5,274,700","PEP"
"5","Feb 12, 2018","111.90","112.75","111.06","111.93","111.93","4,759,200","PEP"
"6","Feb 09, 2018","110.81","111.99","108.88","111.18","111.18","5,301,700","PEP"
"7","Feb 08, 2018","113.70","113.72","110.09","110.15","110.15","4,907,900","PEP"
"8","Feb 07, 2018","113.97","115.77","112.75","113.50","113.50","4,931,400","PEP"
"9","Feb 06, 2018","112.44","113.95","110.15","113.56","113.56","6,642,600","PEP"
"10","Feb 05, 2018","118.57","119.66","114.41","114.46","114.46","5,347,600","PEP"
"11","Feb 02, 2018","119.91","120.28","118.40","118.67","118.67","3,348,900","PEP"
"12","Feb 01, 2018","119.92","121.01","119.28","120.30","120.30","3,485,600","PEP"
"13","Jan 31, 2018","119.84","120.75","119.51","120.30","120.30","4,018,100","PEP"
"14","Jan 30, 2018","119.68","121.20","119.50","119.89","119.89","4,945,200","PEP"
"15","Jan 29, 2018","121.38","122.16","119.65","119.67","119.67","3,854,700","PEP"
"16","Jan 26, 2018","120.61","121.84","120.61","121.76","121.76","3,993,900","PEP"
"17","Jan 25, 2018","120.61","121.45","120.36","120.90","120.90","2,712,900","PEP"
"18","Jan 24, 2018","121.24","121.48","120.82","121.14","121.14","3,445,200","PEP"
"19","Jan 23, 2018","121.07","122.51","120.85","121.30","121.30","3,536,900","PEP"
"20","Jan 22, 2018","120.10","121.85","120.00","121.51","121.51","4,308,600","PEP"
"21","Jan 19, 2018","119.48","120.68","118.64","120.17","120.17","6,002,600","PEP"
"22","Jan 18, 2018","119.09","119.62","118.65","119.05","119.05","6,221,800","PEP"
"23","Jan 17, 2018","118.29","120.17","118.21","119.18","119.18","4,554,600","PEP"
"24","Jan 16, 2018","117.20","118.35","117.03","117.86","117.86","4,936,500","PEP"
"25","Jan 12, 2018","116.95","118.01","116.85","117.38","117.38","4,335,500","PEP"
"26","Jan 11, 2018","117.64","117.85","116.38","116.88","116.88","3,685,200","PEP"
"27","Jan 10, 2018","118.13","118.36","116.70","117.48","117.48","3,363,900","PEP"
"28","Jan 09, 2018","118.26","118.98","117.95","118.08","118.08","4,573,600","PEP"
"29","Jan 08, 2018","118.21","118.74","117.67","117.99","117.99","5,730,400","PEP"
"30","Jan 05, 2018","118.41","119.09","118.25","118.67","118.67","2,714,200","PEP"
"31","Jan 04, 2018","117.80","119.11","117.60","118.33","118.33","3,147,000","PEP"
"32","Jan 03, 2018","117.91","118.47","117.64","117.75","117.75","4,224,000","PEP"
"33","Jan 02, 2018","119.93","120.18","117.93","118.06","118.06","4,165,800","PEP"
"34","Dec 29, 2017","119.46","120.57","119.42","119.92","119.92","3,116,400","PEP"
"35","Dec 28, 2017","119.33","119.53","119.05","119.35","119.35","1,999,300","PEP"
"36","Dec 27, 2017","118.87","119.40","118.80","119.30","119.30","2,465,100","PEP"
"37","Dec 26, 2017","118.41","119.24","118.41","118.89","118.89","2,156,300","PEP"
"38","Dec 22, 2017","118.60","118.75","118.17","118.60","118.60","2,045,600","PEP"
"39","Dec 21, 2017","119.45","119.57","117.84","118.26","118.26","2,790,000","PEP"
"40","Dec 20, 2017","118.66","119.12","117.56","119.02","119.02","4,273,400","PEP"
"41","Dec 19, 2017","118.75","119.39","118.23","118.61","118.61","3,942,500","PEP"
"42","Dec 18, 2017","119.30","119.74","118.00","118.05","118.05","3,472,700","PEP"
"43","Dec 15, 2017","118.57","119.36","118.45","119.22","119.22","7,173,500","PEP"
"44","Dec 14, 2017","117.94","118.60","117.73","118.02","118.02","4,057,800","PEP"
"45","Dec 13, 2017","117.51","118.21","117.48","117.80","117.80","3,193,900","PEP"
"46","Dec 12, 2017","118.22","118.37","117.12","117.40","117.40","2,664,600","PEP"
"47","Dec 11, 2017","116.33","117.44","115.56","117.39","117.39","2,429,400","PEP"
"48","Dec 08, 2017","116.52","116.60","115.90","116.57","116.57","3,127,500","PEP"
"49","Dec 07, 2017","118.52","118.64","116.55","116.73","116.73","5,409,500","PEP"
"50","Dec 06, 2017","117.83","118.91","117.64","118.90","118.90","3,203,500","PEP"
"51","Dec 05, 2017","117.63","117.94","117.18","117.59","117.59","3,198,600","PEP"
"52","Dec 04, 2017","117.00","118.20","116.62","117.46","117.46","4,403,000","PEP"
"53","Dec 01, 2017","116.50","116.85","115.04","116.78","116.78","4,956,600","PEP"
"54","Nov 30, 2017","116.52","117.21","116.08","116.52","116.52","5,984,000","PEP"
"55","Nov 30, 2017","0.805 Dividend","0.805 Dividend","0.805 Dividend","0.805 Dividend","0.805 Dividend","0.805 Dividend","PEP"
"56","Nov 29, 2017","116.84","117.38","116.29","116.84","116.03","3,276,300","PEP"
"57","Nov 28, 2017","116.26","116.83","115.30","116.77","115.97","3,600,400","PEP"
"58","Nov 27, 2017","116.00","116.40","115.66","115.85","115.05","2,818,900","PEP"
