"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","35.76","36.66","35.68","36.26","36.26","25,666,800","PFE"
"2","Feb 15, 2018","35.37","35.73","35.08","35.71","35.71","21,431,100","PFE"
"3","Feb 14, 2018","34.70","35.34","34.56","35.19","35.19","23,239,800","PFE"
"4","Feb 13, 2018","34.57","35.03","34.41","34.94","34.94","20,455,000","PFE"
"5","Feb 12, 2018","34.45","34.87","34.03","34.66","34.66","36,758,700","PFE"
"6","Feb 09, 2018","34.19","34.43","33.20","34.16","34.16","47,297,700","PFE"
"7","Feb 08, 2018","35.00","35.17","33.60","33.63","33.63","43,501,700","PFE"
"8","Feb 07, 2018","35.13","35.65","34.97","34.98","34.98","29,370,000","PFE"
"9","Feb 06, 2018","34.16","35.48","34.00","35.28","35.28","53,164,200","PFE"
"10","Feb 05, 2018","36.48","36.70","34.00","34.67","34.67","40,288,100","PFE"
"11","Feb 02, 2018","36.60","37.25","36.51","36.61","36.61","24,277,900","PFE"
"12","Feb 01, 2018","36.61","37.40","36.61","36.83","36.83","28,176,400","PFE"
"13","Feb 01, 2018","0.34 Dividend","0.34 Dividend","0.34 Dividend","0.34 Dividend","0.34 Dividend","0.34 Dividend","PFE"
"14","Jan 31, 2018","37.92","37.99","36.83","37.04","36.70","34,022,700","PFE"
"15","Jan 30, 2018","38.21","38.75","37.35","37.80","37.45","45,999,700","PFE"
"16","Jan 29, 2018","39.00","39.43","38.77","39.02","38.66","34,894,700","PFE"
"17","Jan 26, 2018","37.30","39.09","37.30","39.01","38.65","48,805,900","PFE"
"18","Jan 25, 2018","36.97","37.34","36.90","37.23","36.89","18,015,400","PFE"
"19","Jan 24, 2018","36.99","37.07","36.73","36.93","36.59","17,716,500","PFE"
"20","Jan 23, 2018","36.82","37.08","36.54","36.82","36.48","17,578,000","PFE"
"21","Jan 22, 2018","36.89","37.07","36.73","36.93","36.59","20,285,100","PFE"
"22","Jan 19, 2018","37.19","37.28","36.50","36.94","36.60","29,538,600","PFE"
"23","Jan 18, 2018","37.17","37.17","36.70","36.99","36.65","18,924,600","PFE"
"24","Jan 17, 2018","36.82","37.37","36.77","37.18","36.84","24,034,500","PFE"
"25","Jan 16, 2018","36.57","36.98","36.47","36.60","36.26","28,972,200","PFE"
