"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","82.21","83.25","82.13","82.60","82.60","10,363,000","PG"
"2","Feb 15, 2018","80.97","82.41","80.50","82.41","82.41","8,910,700","PG"
"3","Feb 14, 2018","81.06","81.26","80.27","80.68","80.68","9,412,000","PG"
"4","Feb 13, 2018","81.15","81.83","80.91","81.50","81.50","9,278,700","PG"
"5","Feb 12, 2018","80.61","81.67","80.58","81.33","81.33","10,769,000","PG"
"6","Feb 09, 2018","80.98","81.03","78.59","79.92","79.92","18,838,800","PG"
"7","Feb 08, 2018","82.03","82.22","80.15","80.22","80.22","14,596,100","PG"
"8","Feb 07, 2018","82.30","83.39","81.82","81.84","81.84","11,851,800","PG"
"9","Feb 06, 2018","80.53","82.45","80.12","82.38","82.38","19,955,500","PG"
"10","Feb 05, 2018","83.99","84.37","80.10","81.06","81.06","17,462,200","PG"
"11","Feb 02, 2018","85.56","85.61","84.21","84.25","84.25","12,846,300","PG"
"12","Feb 01, 2018","86.15","86.50","85.56","85.85","85.85","8,606,300","PG"
"13","Jan 31, 2018","86.81","87.41","86.08","86.34","86.34","11,798,100","PG"
"14","Jan 30, 2018","86.82","87.44","86.63","86.95","86.95","9,662,900","PG"
"15","Jan 29, 2018","87.69","87.74","86.69","86.86","86.86","11,685,800","PG"
"16","Jan 26, 2018","88.17","88.17","87.23","87.73","87.73","11,503,100","PG"
"17","Jan 25, 2018","88.68","89.05","88.01","88.34","88.34","11,264,400","PG"
"18","Jan 24, 2018","89.06","89.16","87.70","88.31","88.31","15,141,900","PG"
"19","Jan 23, 2018","89.82","90.21","88.60","89.05","89.05","18,756,300","PG"
"20","Jan 22, 2018","90.88","91.92","90.77","91.89","91.89","8,658,000","PG"
"21","Jan 19, 2018","90.28","91.26","90.24","91.07","91.07","9,364,000","PG"
"22","Jan 18, 2018","90.24","90.65","89.67","90.18","90.18","7,699,800","PG"
"23","Jan 18, 2018","0.69 Dividend","0.69 Dividend","0.69 Dividend","0.69 Dividend","0.69 Dividend","0.69 Dividend","PG"
"24","Jan 17, 2018","90.56","91.73","90.43","91.20","90.51","8,345,500","PG"
"25","Jan 16, 2018","90.14","90.77","89.64","90.22","89.54","9,465,300","PG"
"26","Jan 12, 2018","90.05","90.34","89.35","89.61","88.93","8,111,000","PG"
"27","Jan 11, 2018","90.40","90.52","89.92","90.15","89.47","5,469,700","PG"
"28","Jan 10, 2018","90.91","90.91","90.01","90.47","89.79","6,564,700","PG"
"29","Jan 09, 2018","91.47","91.65","91.01","91.05","90.36","6,630,100","PG"
"30","Jan 08, 2018","90.93","91.77","90.93","91.72","91.03","4,860,700","PG"
"31","Jan 05, 2018","91.27","91.30","90.57","91.24","90.55","5,949,700","PG"
"32","Jan 04, 2018","90.83","91.77","90.61","91.18","90.49","6,322,500","PG"
"33","Jan 03, 2018","90.73","91.09","90.52","90.54","89.85","5,863,600","PG"
"34","Jan 02, 2018","91.92","91.93","90.55","90.65","89.96","7,558,900","PG"
"35","Dec 29, 2017","92.24","92.46","91.88","91.88","91.18","4,346,700","PG"
"36","Dec 28, 2017","92.30","92.54","91.91","92.07","91.37","3,005,400","PG"
"37","Dec 27, 2017","92.49","92.75","91.93","92.10","91.40","4,276,700","PG"
"38","Dec 26, 2017","92.35","92.77","92.15","92.48","91.78","3,431,900","PG"
"39","Dec 22, 2017","91.88","92.43","91.72","92.13","91.43","4,919,400","PG"
"40","Dec 21, 2017","91.66","92.08","91.53","91.67","90.98","4,860,400","PG"
"41","Dec 20, 2017","91.80","91.97","91.35","91.53","90.84","6,938,500","PG"
"42","Dec 19, 2017","92.00","92.13","91.58","91.68","90.99","5,644,400","PG"
"43","Dec 18, 2017","91.98","93.14","91.81","91.88","91.18","7,405,700","PG"
"44","Dec 15, 2017","91.57","92.27","91.48","91.89","91.19","15,924,000","PG"
"45","Dec 14, 2017","90.94","91.43","90.90","91.00","90.31","5,853,500","PG"
"46","Dec 13, 2017","90.02","91.41","89.97","90.88","90.19","7,141,000","PG"
"47","Dec 12, 2017","90.45","90.51","89.82","89.85","89.17","6,558,900","PG"
"48","Dec 11, 2017","90.23","90.33","89.75","90.23","89.55","4,856,000","PG"
"49","Dec 08, 2017","90.02","90.37","89.58","90.37","89.69","5,883,400","PG"
"50","Dec 07, 2017","91.05","91.07","89.89","90.10","89.42","7,273,600","PG"
"51","Dec 06, 2017","91.39","91.78","91.07","91.25","90.56","6,737,400","PG"
"52","Dec 05, 2017","91.52","91.84","91.07","91.40","90.71","8,683,000","PG"
