"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","103.31","105.13","103.05","104.31","104.31","5,168,200","PM"
"2","Feb 15, 2018","102.56","103.71","102.06","103.69","103.69","4,361,100","PM"
"3","Feb 14, 2018","102.75","103.50","101.74","102.54","102.54","4,253,800","PM"
"4","Feb 13, 2018","101.74","103.16","100.98","103.05","103.05","5,182,300","PM"
"5","Feb 12, 2018","100.27","103.07","99.79","102.40","102.40","6,468,900","PM"
"6","Feb 09, 2018","100.90","101.60","98.55","99.94","99.94","9,899,900","PM"
"7","Feb 08, 2018","99.52","102.38","99.00","100.39","100.39","11,214,300","PM"
"8","Feb 07, 2018","99.90","101.61","98.50","98.88","98.88","5,916,800","PM"
"9","Feb 06, 2018","97.31","100.64","96.66","100.33","100.33","9,591,600","PM"
"10","Feb 05, 2018","102.93","103.48","98.51","98.69","98.69","7,901,200","PM"
"11","Feb 02, 2018","105.00","105.53","103.19","103.44","103.44","6,421,800","PM"
"12","Feb 01, 2018","107.04","107.58","104.93","105.17","105.17","7,612,900","PM"
"13","Jan 31, 2018","108.23","108.47","106.74","107.23","107.23","5,041,600","PM"
"14","Jan 30, 2018","108.20","109.37","107.75","107.94","107.94","4,069,700","PM"
"15","Jan 29, 2018","109.63","109.70","108.41","108.61","108.61","3,952,500","PM"
"16","Jan 26, 2018","107.36","110.46","107.31","110.19","110.19","6,000,700","PM"
"17","Jan 25, 2018","110.43","111.25","103.02","107.49","107.49","11,823,700","PM"
"18","Jan 24, 2018","109.56","110.89","109.56","110.60","110.60","4,404,100","PM"
"19","Jan 23, 2018","108.50","109.78","108.40","109.53","109.53","3,778,100","PM"
"20","Jan 22, 2018","109.15","109.68","108.46","108.81","108.81","4,762,300","PM"
"21","Jan 19, 2018","105.58","109.11","105.54","108.92","108.92","5,818,900","PM"
"22","Jan 18, 2018","105.46","105.71","104.80","105.07","105.07","4,134,600","PM"
"23","Jan 17, 2018","105.08","106.25","105.08","105.79","105.79","4,009,400","PM"
"24","Jan 16, 2018","104.55","104.98","103.77","104.87","104.87","5,855,600","PM"
"25","Jan 12, 2018","105.57","105.64","103.91","104.50","104.50","5,513,700","PM"
"26","Jan 11, 2018","106.32","106.62","104.41","104.86","104.86","4,109,300","PM"
"27","Jan 10, 2018","105.02","106.04","103.88","105.63","105.63","3,696,500","PM"
"28","Jan 09, 2018","104.75","105.44","104.24","104.89","104.89","3,939,200","PM"
"29","Jan 08, 2018","103.98","104.67","103.85","104.14","104.14","4,911,600","PM"
"30","Jan 05, 2018","103.27","104.60","103.27","104.30","104.30","4,641,400","PM"
