"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","78.20","78.75","77.53","78.37","78.37","9,740,300","PYPL"
"2","Feb 15, 2018","78.01","78.30","76.58","78.29","78.29","9,311,000","PYPL"
"3","Feb 14, 2018","74.18","77.36","74.13","77.27","77.27","8,955,800","PYPL"
"4","Feb 13, 2018","74.81","75.60","74.55","74.97","74.97","7,743,600","PYPL"
"5","Feb 12, 2018","75.49","76.28","74.85","75.28","75.28","10,419,600","PYPL"
"6","Feb 09, 2018","73.14","75.27","71.63","74.75","74.75","14,339,400","PYPL"
"7","Feb 08, 2018","75.63","75.91","72.27","72.32","72.32","13,665,400","PYPL"
"8","Feb 07, 2018","75.35","77.58","74.94","75.59","75.59","11,988,000","PYPL"
"9","Feb 06, 2018","72.63","76.51","72.25","75.68","75.68","19,739,600","PYPL"
"10","Feb 05, 2018","75.95","78.98","74.68","74.71","74.71","18,810,600","PYPL"
"11","Feb 02, 2018","78.10","79.62","76.28","76.57","76.57","21,979,800","PYPL"
"12","Feb 01, 2018","79.95","80.95","76.70","78.40","78.40","44,271,600","PYPL"
"13","Jan 31, 2018","84.18","86.32","84.16","85.32","85.32","15,221,400","PYPL"
"14","Jan 30, 2018","83.00","84.17","82.00","83.78","83.78","7,864,500","PYPL"
"15","Jan 29, 2018","85.20","85.35","83.62","84.31","84.31","8,198,900","PYPL"
"16","Jan 26, 2018","84.46","85.49","84.04","85.45","85.45","7,840,300","PYPL"
"17","Jan 25, 2018","84.00","85.27","83.71","84.34","84.34","7,268,300","PYPL"
"18","Jan 24, 2018","84.52","85.29","82.71","83.71","83.71","8,735,700","PYPL"
"19","Jan 23, 2018","84.12","84.55","83.45","84.21","84.21","9,736,400","PYPL"
"20","Jan 22, 2018","84.00","84.21","83.22","83.98","83.98","7,560,500","PYPL"
"21","Jan 19, 2018","83.23","84.19","83.13","83.84","83.84","8,783,500","PYPL"
"22","Jan 18, 2018","82.43","83.44","81.61","82.94","82.94","7,395,100","PYPL"
"23","Jan 17, 2018","80.40","82.61","79.96","82.47","82.47","7,146,900","PYPL"
"24","Jan 16, 2018","80.95","81.80","79.94","80.42","80.42","9,596,600","PYPL"
"25","Jan 12, 2018","80.00","80.77","79.66","80.54","80.54","6,891,100","PYPL"
"26","Jan 11, 2018","79.45","79.87","78.91","79.75","79.75","6,267,500","PYPL"
"27","Jan 10, 2018","78.50","79.49","77.70","79.37","79.37","6,248,600","PYPL"
"28","Jan 09, 2018","80.10","80.39","78.52","79.19","79.19","9,620,400","PYPL"
"29","Jan 08, 2018","78.70","79.18","77.77","79.05","79.05","7,963,600","PYPL"
"30","Jan 05, 2018","77.11","78.93","77.01","78.70","78.70","11,822,100","PYPL"
"31","Jan 04, 2018","77.33","77.93","76.26","76.73","76.73","8,650,000","PYPL"
"32","Jan 03, 2018","74.30","76.85","74.05","76.75","76.75","9,945,400","PYPL"
"33","Jan 02, 2018","74.24","74.50","73.43","73.84","73.84","7,296,500","PYPL"
"34","Dec 29, 2017","73.92","74.53","73.58","73.62","73.62","4,496,600","PYPL"
"35","Dec 28, 2017","74.96","75.00","73.86","74.17","74.17","3,810,200","PYPL"
"36","Dec 27, 2017","74.25","74.93","74.00","74.59","74.59","4,461,500","PYPL"
"37","Dec 26, 2017","73.29","74.34","72.63","74.27","74.27","4,919,100","PYPL"
"38","Dec 22, 2017","73.80","74.04","72.90","73.89","73.89","3,895,000","PYPL"
"39","Dec 21, 2017","74.19","74.47","73.80","74.02","74.02","4,763,900","PYPL"
"40","Dec 20, 2017","74.64","74.90","73.76","74.00","74.00","6,121,300","PYPL"
"41","Dec 19, 2017","75.39","75.39","73.91","74.50","74.50","7,753,100","PYPL"
"42","Dec 18, 2017","76.30","76.35","75.20","75.32","75.32","8,361,100","PYPL"
"43","Dec 15, 2017","74.82","75.87","73.51","75.65","75.65","12,543,900","PYPL"
"44","Dec 14, 2017","74.50","75.53","74.20","74.26","74.26","7,519,600","PYPL"
"45","Dec 13, 2017","74.08","75.42","73.77","74.09","74.09","7,196,400","PYPL"
"46","Dec 12, 2017","73.45","74.31","73.00","73.62","73.62","6,573,500","PYPL"
"47","Dec 11, 2017","72.96","73.68","72.56","73.29","73.29","6,421,900","PYPL"
"48","Dec 08, 2017","74.71","74.71","72.60","72.91","72.91","8,350,400","PYPL"
"49","Dec 07, 2017","73.25","74.07","73.25","73.69","73.69","7,937,700","PYPL"
"50","Dec 06, 2017","70.89","73.20","70.83","73.14","73.14","9,331,400","PYPL"
"51","Dec 05, 2017","69.81","72.75","69.61","71.20","71.20","16,634,000","PYPL"
"52","Dec 04, 2017","75.59","75.74","68.61","70.97","70.97","26,283,600","PYPL"
"53","Dec 01, 2017","75.22","76.44","74.26","75.30","75.30","13,387,800","PYPL"
"54","Nov 30, 2017","73.77","75.87","73.54","75.73","75.73","15,962,000","PYPL"
"55","Nov 29, 2017","77.95","77.98","71.67","73.25","73.25","25,202,100","PYPL"
"56","Nov 28, 2017","77.95","78.23","77.24","77.79","77.79","8,741,500","PYPL"
"57","Nov 27, 2017","78.63","79.39","77.71","77.84","77.84","6,780,900","PYPL"
"58","Nov 24, 2017","77.81","78.90","77.70","78.57","78.57","4,306,600","PYPL"
"59","Nov 22, 2017","77.90","77.99","76.62","77.57","77.57","8,073,500","PYPL"
"60","Nov 21, 2017","77.09","78.43","76.85","77.77","77.77","10,603,100","PYPL"
"61","Nov 20, 2017","76.60","77.32","75.88","76.01","76.01","6,841,800","PYPL"
"62","Nov 17, 2017","78.01","78.01","75.80","76.38","76.38","11,886,700","PYPL"
"63","Nov 16, 2017","75.50","77.94","75.28","77.70","77.70","12,856,500","PYPL"
"64","Nov 15, 2017","74.30","74.40","73.18","73.43","73.43","6,232,500","PYPL"
"65","Nov 14, 2017","74.10","74.82","73.62","74.49","74.49","6,281,500","PYPL"
"66","Nov 13, 2017","73.61","74.29","73.34","74.03","74.03","5,843,600","PYPL"
"67","Nov 10, 2017","73.77","74.14","73.56","73.99","73.99","5,714,600","PYPL"
