"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","64.77","65.83","64.60","64.85","64.85","11,744,400","QCOM"
"2","Feb 15, 2018","66.38","66.38","63.86","65.28","65.28","15,548,400","QCOM"
"3","Feb 14, 2018","65.15","66.80","65.10","66.59","66.59","10,370,900","QCOM"
"4","Feb 13, 2018","65.23","65.76","64.98","65.70","65.70","7,695,900","QCOM"
"5","Feb 12, 2018","64.89","65.70","64.39","65.66","65.66","13,692,100","QCOM"
"6","Feb 09, 2018","62.95","64.32","61.46","63.99","63.99","23,095,000","QCOM"
"7","Feb 08, 2018","64.63","65.07","62.40","62.42","62.42","13,451,600","QCOM"
"8","Feb 07, 2018","64.22","66.12","64.02","65.04","65.04","15,021,200","QCOM"
"9","Feb 06, 2018","62.31","64.53","62.20","64.40","64.40","24,458,700","QCOM"
"10","Feb 05, 2018","66.30","66.55","60.50","61.73","61.73","35,996,000","QCOM"
"11","Feb 02, 2018","66.18","67.04","65.86","66.07","66.07","10,971,700","QCOM"
"12","Feb 01, 2018","67.00","68.35","66.32","66.80","66.80","16,838,500","QCOM"
"13","Jan 31, 2018","67.55","68.38","67.46","68.25","68.25","13,915,600","QCOM"
"14","Jan 30, 2018","67.43","67.91","66.73","66.99","66.99","8,059,500","QCOM"
"15","Jan 29, 2018","68.16","68.30","67.24","67.32","67.32","9,745,300","QCOM"
"16","Jan 26, 2018","67.94","68.53","67.60","68.53","68.53","7,919,000","QCOM"
"17","Jan 25, 2018","68.14","68.37","67.29","67.42","67.42","9,122,200","QCOM"
"18","Jan 24, 2018","68.20","68.29","67.38","67.98","67.98","12,383,100","QCOM"
"19","Jan 23, 2018","68.60","68.90","68.24","68.34","68.34","7,825,600","QCOM"
"20","Jan 22, 2018","67.81","68.75","67.71","68.67","68.67","8,566,200","QCOM"
"21","Jan 19, 2018","68.04","68.25","67.75","68.04","68.04","8,864,300","QCOM"
"22","Jan 18, 2018","67.75","68.18","67.49","68.05","68.05","6,797,900","QCOM"
"23","Jan 17, 2018","68.52","68.90","67.24","68.02","68.02","12,559,100","QCOM"
"24","Jan 16, 2018","66.23","68.65","66.03","68.25","68.25","24,478,800","QCOM"
"25","Jan 12, 2018","65.61","65.90","65.08","65.38","65.38","5,007,200","QCOM"
"26","Jan 11, 2018","65.20","65.50","65.14","65.43","65.43","4,233,100","QCOM"
"27","Jan 10, 2018","65.48","65.74","64.88","65.26","65.26","6,569,300","QCOM"
"28","Jan 09, 2018","65.64","65.86","64.94","65.27","65.27","7,632,300","QCOM"
"29","Jan 08, 2018","66.25","66.53","65.94","66.27","66.27","4,266,900","QCOM"
"30","Jan 05, 2018","66.04","66.60","65.50","66.47","66.47","5,421,800","QCOM"
"31","Jan 04, 2018","66.18","66.53","65.91","66.03","66.03","5,060,100","QCOM"
"32","Jan 03, 2018","65.22","66.06","64.69","65.94","65.94","6,844,200","QCOM"
"33","Jan 02, 2018","64.38","65.33","64.17","65.20","65.20","6,329,600","QCOM"
"34","Dec 29, 2017","64.36","64.65","64.00","64.02","64.02","6,631,800","QCOM"
"35","Dec 28, 2017","64.69","64.73","64.35","64.38","64.38","2,451,300","QCOM"
"36","Dec 27, 2017","64.32","64.64","64.18","64.54","64.54","4,899,600","QCOM"
"37","Dec 26, 2017","64.49","64.94","64.20","64.30","64.30","4,236,500","QCOM"
"38","Dec 22, 2017","64.31","64.98","64.30","64.73","64.73","4,444,300","QCOM"
"39","Dec 21, 2017","64.75","64.96","64.34","64.39","64.39","5,451,100","QCOM"
"40","Dec 20, 2017","64.56","65.17","64.33","64.60","64.60","6,933,600","QCOM"
"41","Dec 19, 2017","65.11","65.48","64.43","64.50","64.50","7,130,000","QCOM"
"42","Dec 18, 2017","64.93","65.46","64.80","65.38","65.38","7,440,900","QCOM"
"43","Dec 15, 2017","65.33","65.42","64.50","64.76","64.76","18,833,000","QCOM"
"44","Dec 14, 2017","64.86","65.17","64.55","64.70","64.70","7,122,000","QCOM"
"45","Dec 13, 2017","64.98","65.43","64.83","64.90","64.90","6,490,400","QCOM"
"46","Dec 12, 2017","64.88","65.11","64.55","64.86","64.86","7,021,200","QCOM"
"47","Dec 11, 2017","64.06","65.26","64.00","65.18","65.18","12,185,000","QCOM"
"48","Dec 08, 2017","65.60","65.60","63.88","64.24","64.24","9,371,900","QCOM"
"49","Dec 07, 2017","65.21","65.55","64.77","65.23","65.23","8,755,000","QCOM"
"50","Dec 06, 2017","64.64","65.68","64.36","64.98","64.98","6,952,300","QCOM"
"51","Dec 05, 2017","64.85","65.03","64.40","64.69","64.69","9,661,200","QCOM"
"52","Dec 04, 2017","65.60","65.70","63.80","64.56","64.56","17,325,100","QCOM"
"53","Dec 01, 2017","65.20","66.12","64.60","65.49","65.49","15,851,100","QCOM"
"54","Nov 30, 2017","66.51","67.10","65.72","66.34","66.34","15,555,600","QCOM"
"55","Nov 29, 2017","68.10","68.20","66.03","66.52","66.52","17,022,200","QCOM"
"56","Nov 28, 2017","67.59","68.41","67.22","68.38","68.38","12,861,300","QCOM"
"57","Nov 28, 2017","0.57 Dividend","0.57 Dividend","0.57 Dividend","0.57 Dividend","0.57 Dividend","0.57 Dividend","QCOM"
"58","Nov 27, 2017","68.60","68.92","68.04","68.14","67.57","20,404,600","QCOM"
"59","Nov 24, 2017","68.51","69.28","68.45","68.91","68.33","9,233,500","QCOM"
"60","Nov 22, 2017","66.37","68.26","66.24","68.13","67.56","15,489,400","QCOM"
"61","Nov 21, 2017","65.35","66.93","65.27","66.67","66.11","11,215,800","QCOM"
"62","Nov 20, 2017","66.18","66.85","65.95","66.47","65.91","9,749,400","QCOM"
"63","Nov 17, 2017","66.37","66.95","66.00","66.72","66.16","13,334,000","QCOM"
"64","Nov 16, 2017","65.77","66.54","65.43","66.11","65.56","12,339,800","QCOM"
"65","Nov 15, 2017","65.55","66.48","65.24","65.61","65.06","10,565,400","QCOM"
"66","Nov 14, 2017","66.16","66.80","65.55","66.00","65.45","14,036,700","QCOM"
"67","Nov 13, 2017","64.96","66.82","64.75","66.49","65.93","24,411,600","QCOM"
"68","Nov 10, 2017","64.36","65.10","63.92","64.57","64.03","9,626,200","QCOM"
"69","Nov 09, 2017","64.91","65.33","63.93","64.60","64.06","15,954,900","QCOM"
"70","Nov 08, 2017","64.21","65.79","64.21","65.49","64.94","26,515,400","QCOM"
"71","Nov 07, 2017","62.52","64.16","62.45","64.10","63.56","23,424,600","QCOM"
"72","Nov 06, 2017","64.54","65.33","62.15","62.52","62.00","58,900,800","QCOM"
"73","Nov 03, 2017","54.76","64.99","54.21","61.81","61.29","80,964,500","QCOM"
"74","Nov 02, 2017","53.60","55.68","53.60","54.84","54.38","17,337,800","QCOM"
"75","Nov 01, 2017","51.47","53.49","50.51","53.46","53.01","15,624,400","QCOM"
"76","Oct 31, 2017","52.26","52.49","50.02","51.01","50.58","29,914,100","QCOM"
"77","Oct 30, 2017","54.16","54.77","54.08","54.66","54.20","7,081,500","QCOM"
"78","Oct 27, 2017","53.70","54.70","53.36","54.57","54.11","8,962,400","QCOM"
