"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","217.68","218.78","215.90","217.73","217.73","1,448,200","RTN"
"2","Feb 15, 2018","214.07","218.19","213.56","218.18","218.18","2,190,900","RTN"
"3","Feb 14, 2018","208.59","212.91","208.21","212.58","212.58","1,865,600","RTN"
"4","Feb 13, 2018","206.57","210.29","205.76","209.53","209.53","1,389,300","RTN"
"5","Feb 12, 2018","206.00","209.98","204.12","207.52","207.52","2,134,000","RTN"
"6","Feb 09, 2018","201.18","206.74","199.01","204.52","204.52","3,402,300","RTN"
"7","Feb 08, 2018","207.06","207.33","198.56","198.74","198.74","3,107,500","RTN"
"8","Feb 07, 2018","201.15","208.55","201.15","204.32","204.32","2,264,100","RTN"
"9","Feb 06, 2018","195.13","201.99","193.77","201.13","201.13","2,794,400","RTN"
"10","Feb 05, 2018","204.31","208.00","191.00","198.36","198.36","3,119,200","RTN"
"11","Feb 02, 2018","209.52","210.44","206.66","206.80","206.80","2,430,500","RTN"
"12","Feb 01, 2018","208.59","213.45","208.32","210.85","210.85","1,891,000","RTN"
"13","Jan 31, 2018","210.20","211.95","208.94","208.94","208.94","1,951,200","RTN"
"14","Jan 30, 2018","210.27","210.49","206.42","209.18","209.18","2,474,400","RTN"
"15","Jan 29, 2018","210.54","212.69","209.31","211.22","211.22","1,790,600","RTN"
"16","Jan 26, 2018","203.91","209.28","203.91","208.91","208.91","2,809,300","RTN"
"17","Jan 25, 2018","198.31","204.39","198.31","202.84","202.84","3,012,400","RTN"
"18","Jan 24, 2018","196.60","198.56","196.09","198.09","198.09","1,732,300","RTN"
"19","Jan 23, 2018","196.58","196.75","195.53","196.23","196.23","1,109,900","RTN"
"20","Jan 22, 2018","196.10","196.81","194.09","196.37","196.37","1,178,400","RTN"
"21","Jan 19, 2018","196.77","197.40","195.83","196.68","196.68","1,226,200","RTN"
"22","Jan 18, 2018","197.16","198.13","195.53","195.71","195.71","1,379,000","RTN"
"23","Jan 17, 2018","197.02","197.95","196.07","196.99","196.99","1,519,400","RTN"
"24","Jan 16, 2018","198.92","199.75","195.59","195.73","195.73","1,673,200","RTN"
"25","Jan 12, 2018","194.07","198.07","194.05","197.46","197.46","1,491,600","RTN"
"26","Jan 11, 2018","193.50","194.53","193.08","193.35","193.35","1,368,900","RTN"
"27","Jan 10, 2018","193.52","194.00","192.05","193.48","193.48","1,148,300","RTN"
"28","Jan 09, 2018","192.71","194.69","192.40","193.70","193.70","1,256,100","RTN"
"29","Jan 08, 2018","190.15","192.69","189.82","192.36","192.36","1,264,600","RTN"
"30","Jan 05, 2018","190.45","190.98","189.58","190.23","190.23","1,237,200","RTN"
"31","Jan 04, 2018","188.55","190.30","188.08","190.09","190.09","1,776,800","RTN"
"32","Jan 03, 2018","186.29","188.47","186.28","188.30","188.30","1,290,600","RTN"
"33","Jan 02, 2018","187.49","187.60","185.03","186.28","186.28","1,616,200","RTN"
"34","Jan 02, 2018","0.798 Dividend","0.798 Dividend","0.798 Dividend","0.798 Dividend","0.798 Dividend","0.798 Dividend","RTN"
"35","Dec 29, 2017","189.13","189.46","187.83","187.85","187.05","1,137,500","RTN"
"36","Dec 28, 2017","187.86","189.02","187.86","188.92","188.12","586,000","RTN"
"37","Dec 27, 2017","187.15","187.97","186.69","187.91","187.11","1,002,900","RTN"
"38","Dec 26, 2017","187.63","188.39","187.13","187.46","186.66","793,200","RTN"
"39","Dec 22, 2017","187.06","187.51","186.52","187.31","186.51","1,166,300","RTN"
"40","Dec 21, 2017","187.20","187.35","186.51","186.84","186.05","1,046,900","RTN"
"41","Dec 20, 2017","187.67","188.42","186.63","186.67","185.88","1,157,800","RTN"
"42","Dec 19, 2017","188.83","189.38","187.35","187.43","186.63","1,072,900","RTN"
"43","Dec 18, 2017","191.71","192.41","187.75","188.73","187.93","1,738,700","RTN"
"44","Dec 15, 2017","190.12","191.54","189.79","191.38","190.57","1,584,100","RTN"
"45","Dec 14, 2017","188.92","189.95","188.34","188.78","187.98","1,005,200","RTN"
"46","Dec 13, 2017","187.16","190.43","187.03","188.65","187.85","1,045,700","RTN"
"47","Dec 12, 2017","185.91","187.46","185.26","186.89","186.10","1,058,700","RTN"
"48","Dec 11, 2017","187.78","188.27","186.72","187.08","186.29","880,800","RTN"
"49","Dec 08, 2017","187.00","188.08","186.08","188.07","187.27","841,100","RTN"
"50","Dec 07, 2017","185.22","186.91","185.20","186.14","185.35","1,210,400","RTN"
"51","Dec 06, 2017","185.98","187.11","183.96","185.20","184.41","1,214,100","RTN"
