"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","56.65","57.05","56.34","56.48","56.48","10,146,500","SBUX"
"2","Feb 15, 2018","56.36","56.83","55.90","56.58","56.58","10,294,900","SBUX"
"3","Feb 14, 2018","55.47","56.70","55.29","55.99","55.99","14,190,300","SBUX"
"4","Feb 13, 2018","55.25","55.72","55.02","55.67","55.67","10,416,400","SBUX"
"5","Feb 12, 2018","54.86","55.73","54.55","55.38","55.38","10,969,000","SBUX"
"6","Feb 09, 2018","54.20","55.06","53.65","54.58","54.58","19,382,000","SBUX"
"7","Feb 08, 2018","54.50","54.79","53.75","53.77","53.77","17,736,700","SBUX"
"8","Feb 07, 2018","55.08","55.43","54.44","54.46","54.46","13,927,000","SBUX"
"9","Feb 07, 2018","0.3 Dividend","0.3 Dividend","0.3 Dividend","0.3 Dividend","0.3 Dividend","0.3 Dividend","SBUX"
"10","Feb 06, 2018","53.69","56.06","53.56","55.61","55.31","17,415,100","SBUX"
"11","Feb 05, 2018","55.53","56.26","54.57","54.69","54.39","16,060,000","SBUX"
"12","Feb 02, 2018","55.90","56.32","55.70","55.77","55.47","15,358,900","SBUX"
"13","Feb 01, 2018","56.28","56.42","55.89","56.00","55.70","14,690,100","SBUX"
"14","Jan 31, 2018","57.23","57.45","56.70","56.81","56.50","13,118,400","SBUX"
"15","Jan 30, 2018","56.96","57.54","56.74","57.19","56.88","14,341,200","SBUX"
"16","Jan 29, 2018","57.55","58.35","56.91","57.02","56.71","18,899,900","SBUX"
"17","Jan 26, 2018","57.94","58.17","56.55","57.99","57.68","51,851,700","SBUX"
"18","Jan 25, 2018","61.03","61.20","60.40","60.55","60.22","16,225,600","SBUX"
"19","Jan 24, 2018","61.51","61.94","60.23","60.83","60.50","11,911,900","SBUX"
"20","Jan 23, 2018","61.32","61.91","61.14","61.69","61.36","10,806,800","SBUX"
"21","Jan 22, 2018","61.04","61.47","60.77","61.41","61.08","11,945,800","SBUX"
"22","Jan 19, 2018","61.21","61.46","60.95","61.26","60.93","8,361,900","SBUX"
"23","Jan 18, 2018","61.43","61.44","60.74","61.09","60.76","9,170,900","SBUX"
"24","Jan 17, 2018","61.00","61.33","60.52","60.66","60.33","8,433,800","SBUX"
"25","Jan 16, 2018","60.33","61.10","60.30","60.56","60.23","8,040,700","SBUX"
"26","Jan 12, 2018","60.40","60.51","59.65","60.40","60.07","6,989,100","SBUX"
"27","Jan 11, 2018","59.52","60.02","59.45","60.00","59.68","5,806,300","SBUX"
"28","Jan 10, 2018","60.00","60.13","58.86","59.82","59.50","8,656,500","SBUX"
"29","Jan 09, 2018","59.20","59.47","58.86","59.18","58.86","5,233,400","SBUX"
"30","Jan 08, 2018","59.48","59.67","58.56","59.31","58.99","6,335,800","SBUX"
"31","Jan 05, 2018","59.25","59.69","59.07","59.61","59.29","6,047,700","SBUX"
"32","Jan 04, 2018","58.99","59.41","58.73","58.93","58.61","5,775,900","SBUX"
"33","Jan 03, 2018","57.93","58.96","57.80","58.71","58.39","7,478,400","SBUX"
"34","Jan 02, 2018","57.95","58.21","57.48","57.63","57.32","7,216,000","SBUX"
"35","Dec 29, 2017","57.74","57.97","57.42","57.43","57.12","5,365,600","SBUX"
"36","Dec 28, 2017","57.47","58.00","57.30","57.81","57.50","5,044,500","SBUX"
"37","Dec 27, 2017","57.19","57.65","57.18","57.27","56.96","4,812,200","SBUX"
"38","Dec 26, 2017","57.27","57.58","57.05","57.14","56.83","5,546,200","SBUX"
