"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","66.15","67.29","65.90","66.28","66.28","7,475,600","SLB"
"2","Feb 15, 2018","66.25","66.25","64.82","66.21","66.21","8,844,500","SLB"
"3","Feb 14, 2018","65.34","66.27","64.57","65.87","65.87","13,030,900","SLB"
"4","Feb 13, 2018","66.63","66.86","65.68","65.92","65.92","7,959,900","SLB"
"5","Feb 12, 2018","66.37","67.68","66.27","66.84","66.84","11,382,800","SLB"
"6","Feb 09, 2018","68.18","68.37","63.37","65.19","65.19","19,725,600","SLB"
"7","Feb 08, 2018","69.80","69.90","67.35","67.40","67.40","12,186,000","SLB"
"8","Feb 07, 2018","71.15","72.53","69.62","69.75","69.75","7,345,000","SLB"
"9","Feb 06, 2018","69.51","72.56","69.00","71.04","71.04","12,391,900","SLB"
"10","Feb 06, 2018","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","SLB"
"11","Feb 05, 2018","72.85","74.38","70.59","71.35","70.85","11,310,300","SLB"
"12","Feb 02, 2018","74.88","75.25","73.36","73.69","73.17","9,066,600","SLB"
"13","Feb 01, 2018","73.79","75.56","73.79","75.51","74.98","8,671,600","SLB"
"14","Jan 31, 2018","74.89","74.95","73.11","73.58","73.06","10,198,700","SLB"
"15","Jan 30, 2018","75.40","75.79","73.93","74.54","74.02","11,371,000","SLB"
"16","Jan 29, 2018","77.09","77.41","76.10","76.38","75.84","7,877,900","SLB"
"17","Jan 26, 2018","77.69","78.18","77.39","77.61","77.07","6,055,300","SLB"
"18","Jan 25, 2018","78.98","79.09","77.23","77.33","76.79","7,142,000","SLB"
"19","Jan 24, 2018","78.96","79.25","77.67","78.18","77.63","10,369,000","SLB"
"20","Jan 23, 2018","79.82","80.35","78.58","79.21","78.65","9,332,600","SLB"
"21","Jan 22, 2018","77.04","79.88","76.84","79.79","79.23","13,192,700","SLB"
"22","Jan 19, 2018","75.00","77.18","74.25","76.42","75.88","13,389,800","SLB"
"23","Jan 18, 2018","76.57","77.47","75.69","76.37","75.83","10,588,500","SLB"
"24","Jan 17, 2018","77.00","77.79","76.41","77.21","76.67","8,009,600","SLB"
"25","Jan 16, 2018","77.75","78.00","76.95","77.17","76.63","11,902,500","SLB"
"26","Jan 12, 2018","77.37","78.09","77.05","77.97","77.42","9,211,500","SLB"
"27","Jan 11, 2018","75.67","77.22","75.42","77.05","76.51","10,248,700","SLB"
"28","Jan 10, 2018","75.12","76.07","75.00","75.60","75.07","10,017,600","SLB"
"29","Jan 09, 2018","74.78","75.30","74.56","74.90","74.38","9,370,300","SLB"
"30","Jan 08, 2018","73.35","74.92","72.71","74.80","74.28","9,778,900","SLB"
"31","Jan 05, 2018","72.95","73.68","72.25","73.60","73.08","8,552,700","SLB"
"32","Jan 04, 2018","71.76","73.19","71.26","73.10","72.59","12,252,300","SLB"
"33","Jan 03, 2018","69.97","71.64","69.13","71.33","70.83","9,529,200","SLB"
"34","Jan 02, 2018","68.07","69.83","67.60","69.52","69.03","8,678,200","SLB"
"35","Dec 29, 2017","67.46","67.72","66.80","67.39","66.92","5,918,800","SLB"
"36","Dec 28, 2017","67.95","68.22","67.29","67.46","66.99","4,386,800","SLB"
"37","Dec 27, 2017","67.76","68.40","67.61","67.92","67.44","7,107,900","SLB"
"38","Dec 26, 2017","67.50","68.08","67.42","67.61","67.14","5,028,200","SLB"
