"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","43.98","44.06","43.51","43.93","43.93","7,859,900","SO"
"2","Feb 16, 2018","0.58 Dividend","0.58 Dividend","0.58 Dividend","0.58 Dividend","0.58 Dividend","0.58 Dividend","SO"
"3","Feb 15, 2018","43.85","44.57","43.73","44.56","43.98","8,512,300","SO"
"4","Feb 14, 2018","44.35","44.43","43.56","43.58","43.01","8,010,300","SO"
"5","Feb 13, 2018","44.58","44.84","44.10","44.62","44.04","6,832,400","SO"
"6","Feb 12, 2018","44.33","44.87","43.97","44.68","44.10","7,209,700","SO"
"7","Feb 09, 2018","43.38","44.65","43.30","44.33","43.75","11,018,600","SO"
"8","Feb 08, 2018","43.20","44.05","43.03","43.40","42.84","9,475,700","SO"
"9","Feb 07, 2018","43.39","43.93","43.18","43.34","42.78","10,125,300","SO"
"10","Feb 06, 2018","43.34","43.88","42.63","43.49","42.92","14,707,700","SO"
"11","Feb 05, 2018","44.23","44.72","43.52","43.72","43.15","9,907,400","SO"
"12","Feb 02, 2018","44.20","44.53","44.02","44.17","43.60","7,211,600","SO"
"13","Feb 01, 2018","45.11","45.30","44.22","44.38","43.80","9,120,700","SO"
"14","Jan 31, 2018","44.75","45.15","44.51","45.11","44.52","9,355,200","SO"
"15","Jan 30, 2018","43.98","44.92","43.98","44.80","44.22","8,254,700","SO"
"16","Jan 29, 2018","44.17","44.21","43.85","43.99","43.42","5,900,400","SO"
"17","Jan 26, 2018","44.65","44.84","43.98","44.31","43.73","8,851,900","SO"
"18","Jan 25, 2018","44.08","44.69","44.03","44.62","44.04","6,763,800","SO"
"19","Jan 24, 2018","44.44","44.59","44.08","44.08","43.51","8,133,000","SO"
"20","Jan 23, 2018","43.67","44.75","43.16","44.47","43.89","10,273,700","SO"
"21","Jan 22, 2018","44.61","44.72","43.97","44.04","43.47","9,649,500","SO"
"22","Jan 19, 2018","44.99","45.07","44.41","44.44","43.86","8,808,600","SO"
"23","Jan 18, 2018","44.97","45.14","44.26","44.90","44.32","9,885,100","SO"
"24","Jan 17, 2018","44.62","45.28","44.56","45.05","44.46","10,598,400","SO"
"25","Jan 16, 2018","44.94","45.15","44.31","44.66","44.08","9,767,000","SO"
"26","Jan 12, 2018","45.08","45.37","44.44","44.84","44.26","8,591,200","SO"
"27","Jan 11, 2018","45.65","45.84","45.08","45.25","44.66","6,867,800","SO"
"28","Jan 10, 2018","46.46","46.51","45.81","45.96","45.36","7,197,000","SO"
"29","Jan 09, 2018","47.20","47.25","46.58","46.61","46.00","5,694,500","SO"
"30","Jan 08, 2018","46.90","47.23","46.73","47.20","46.59","7,945,500","SO"
"31","Jan 05, 2018","46.79","46.95","46.44","46.78","46.17","6,120,500","SO"
"32","Jan 04, 2018","46.89","47.09","46.58","46.70","46.09","5,231,500","SO"
"33","Jan 03, 2018","47.05","47.37","46.84","46.90","46.29","6,292,800","SO"
"34","Jan 02, 2018","48.01","48.07","46.96","47.17","46.56","7,278,800","SO"
"35","Dec 29, 2017","48.35","48.47","48.01","48.09","47.46","3,632,900","SO"
"36","Dec 28, 2017","48.09","48.44","48.08","48.28","47.65","2,994,500","SO"
"37","Dec 27, 2017","48.05","48.27","47.92","48.05","47.42","4,185,700","SO"
"38","Dec 26, 2017","48.51","48.75","48.02","48.05","47.42","3,961,500","SO"
"39","Dec 22, 2017","49.53","49.54","48.48","48.50","47.87","7,877,200","SO"
"40","Dec 21, 2017","49.76","50.30","49.42","49.49","48.85","10,331,200","SO"
"41","Dec 20, 2017","49.80","50.05","49.63","49.94","49.29","7,125,700","SO"
"42","Dec 19, 2017","50.54","50.60","49.78","49.81","49.16","7,315,000","SO"
"43","Dec 18, 2017","51.26","51.49","50.47","50.55","49.89","5,331,800","SO"
"44","Dec 15, 2017","51.91","52.00","51.22","51.31","50.64","9,391,300","SO"
"45","Dec 14, 2017","51.53","51.70","51.03","51.52","50.85","4,534,800","SO"
"46","Dec 13, 2017","51.35","51.93","51.27","51.68","51.01","5,115,800","SO"
"47","Dec 12, 2017","51.56","51.88","51.17","51.19","50.52","4,031,900","SO"
"48","Dec 11, 2017","51.26","51.75","50.93","51.68","51.01","5,095,400","SO"
