"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","156.01","157.54","155.49","156.09","156.09","1,899,800","SPG"
"2","Feb 15, 2018","154.57","156.67","153.86","156.15","156.15","1,692,400","SPG"
"3","Feb 14, 2018","154.66","155.03","151.31","154.09","154.09","2,092,500","SPG"
"4","Feb 13, 2018","154.56","156.10","153.50","155.49","155.49","1,481,900","SPG"
"5","Feb 13, 2018","1.95 Dividend","1.95 Dividend","1.95 Dividend","1.95 Dividend","1.95 Dividend","1.95 Dividend","SPG"
"6","Feb 12, 2018","157.33","157.84","152.36","156.80","154.85","2,338,500","SPG"
"7","Feb 09, 2018","152.89","158.47","151.27","157.20","155.25","3,211,700","SPG"
"8","Feb 08, 2018","154.39","156.87","152.14","152.18","150.29","2,940,100","SPG"
"9","Feb 07, 2018","155.79","158.50","154.76","154.86","152.93","2,055,700","SPG"
"10","Feb 06, 2018","154.16","156.09","152.13","155.98","154.04","3,469,700","SPG"
"11","Feb 05, 2018","155.68","159.18","154.36","155.12","153.19","2,678,600","SPG"
"12","Feb 02, 2018","159.19","160.00","155.70","156.52","154.57","3,166,200","SPG"
"13","Feb 01, 2018","163.61","164.83","159.30","159.65","157.66","2,652,400","SPG"
"14","Jan 31, 2018","159.97","163.67","158.56","163.37","161.34","3,259,500","SPG"
"15","Jan 30, 2018","162.81","163.47","161.26","162.61","160.59","2,145,000","SPG"
"16","Jan 29, 2018","163.43","163.79","161.83","162.92","160.89","1,678,600","SPG"
"17","Jan 26, 2018","164.85","165.36","163.02","163.71","161.67","1,574,700","SPG"
"18","Jan 25, 2018","165.58","166.23","162.60","164.20","162.16","1,476,900","SPG"
"19","Jan 24, 2018","166.65","167.16","164.77","166.10","164.03","1,802,200","SPG"
"20","Jan 23, 2018","166.93","169.28","165.59","166.33","164.26","2,864,000","SPG"
"21","Jan 22, 2018","164.28","166.83","164.07","166.10","164.03","1,751,600","SPG"
"22","Jan 19, 2018","164.91","165.29","163.03","164.24","162.20","1,805,200","SPG"
"23","Jan 18, 2018","167.03","167.63","163.75","164.25","162.21","1,947,600","SPG"
"24","Jan 17, 2018","165.72","167.96","164.62","167.40","165.32","1,699,300","SPG"
"25","Jan 16, 2018","165.92","168.10","164.90","165.04","162.99","1,448,900","SPG"
"26","Jan 12, 2018","165.01","165.97","164.37","165.51","163.45","1,238,100","SPG"
"27","Jan 11, 2018","165.25","165.49","164.06","164.83","162.78","1,494,600","SPG"
"28","Jan 10, 2018","164.68","165.12","162.77","164.98","162.93","1,339,500","SPG"
"29","Jan 09, 2018","168.91","169.41","165.13","165.53","163.47","1,720,900","SPG"
"30","Jan 08, 2018","168.96","170.17","168.34","169.25","167.15","1,874,900","SPG"
"31","Jan 05, 2018","167.05","168.37","166.37","168.15","166.06","2,126,500","SPG"
"32","Jan 04, 2018","171.49","171.49","166.54","166.60","164.53","2,159,500","SPG"
"33","Jan 03, 2018","172.10","172.61","169.85","171.62","169.49","1,849,300","SPG"
"34","Jan 02, 2018","172.34","173.02","170.34","172.42","170.28","1,442,900","SPG"
"35","Dec 29, 2017","171.32","172.35","170.36","171.74","169.60","1,190,900","SPG"
"36","Dec 28, 2017","170.84","171.43","169.92","171.15","169.02","995,000","SPG"
"37","Dec 27, 2017","169.82","171.25","169.13","170.77","168.65","1,617,700","SPG"
"38","Dec 26, 2017","167.25","169.99","166.66","169.36","167.25","1,103,000","SPG"
"39","Dec 22, 2017","164.49","167.81","164.00","167.07","164.99","2,015,600","SPG"
"40","Dec 21, 2017","164.49","164.92","163.80","164.70","162.65","1,098,500","SPG"
"41","Dec 20, 2017","168.32","169.00","163.90","163.98","161.94","2,263,500","SPG"
"42","Dec 19, 2017","169.85","170.47","167.26","168.42","166.33","1,569,500","SPG"
"43","Dec 18, 2017","168.15","170.93","167.90","169.82","167.71","1,689,000","SPG"
"44","Dec 15, 2017","166.40","169.11","166.24","167.81","165.72","3,053,300","SPG"
"45","Dec 14, 2017","166.00","167.78","165.29","165.63","163.57","1,342,800","SPG"
"46","Dec 13, 2017","166.77","168.34","165.20","165.83","163.77","1,878,300","SPG"
"47","Dec 12, 2017","166.00","167.30","163.48","166.35","164.28","4,140,500","SPG"
"48","Dec 11, 2017","162.30","163.33","161.66","162.26","160.24","1,122,300","SPG"
"49","Dec 08, 2017","161.86","162.74","160.74","162.25","160.23","1,423,800","SPG"
"50","Dec 07, 2017","162.07","163.13","161.70","162.07","160.05","1,137,900","SPG"
"51","Dec 06, 2017","162.86","163.93","161.78","162.76","160.74","1,310,800","SPG"
"52","Dec 05, 2017","164.24","164.24","162.07","162.75","160.73","2,010,500","SPG"
"53","Dec 04, 2017","163.20","164.20","162.29","163.67","161.63","2,498,800","SPG"
"54","Dec 01, 2017","162.20","162.79","160.98","162.35","160.33","1,725,100","SPG"
"55","Nov 30, 2017","159.35","162.32","158.86","161.75","159.74","2,655,100","SPG"
"56","Nov 29, 2017","156.05","159.98","155.51","158.73","156.76","2,627,300","SPG"
"57","Nov 28, 2017","156.18","156.57","154.53","156.12","154.18","2,312,400","SPG"
"58","Nov 27, 2017","158.00","158.26","155.35","156.39","154.45","1,377,800","SPG"
"59","Nov 24, 2017","159.11","159.89","157.49","158.00","156.04","589,500","SPG"
"60","Nov 22, 2017","158.91","160.05","158.24","158.33","156.36","1,152,200","SPG"
"61","Nov 21, 2017","158.98","159.39","157.40","159.15","157.17","1,407,900","SPG"
"62","Nov 20, 2017","161.39","161.70","158.93","159.01","157.03","1,440,200","SPG"
"63","Nov 17, 2017","160.50","164.17","160.50","161.95","159.94","2,209,600","SPG"
"64","Nov 16, 2017","158.87","160.36","157.78","159.87","157.88","1,601,700","SPG"
"65","Nov 15, 2017","158.00","160.44","157.00","159.38","157.40","1,726,300","SPG"
"66","Nov 15, 2017","1.85 Dividend","1.85 Dividend","1.85 Dividend","1.85 Dividend","1.85 Dividend","1.85 Dividend","SPG"
"67","Nov 14, 2017","160.60","161.83","159.85","160.51","156.69","2,085,100","SPG"
"68","Nov 13, 2017","164.30","165.83","160.11","160.31","156.49","2,945,900","SPG"
"69","Nov 10, 2017","163.15","164.50","161.62","163.75","159.85","2,832,400","SPG"
"70","Nov 09, 2017","156.50","163.50","156.49","161.26","157.42","2,798,300","SPG"
"71","Nov 08, 2017","159.09","160.14","155.68","157.03","153.29","2,289,400","SPG"
"72","Nov 07, 2017","155.24","160.38","154.66","159.05","155.26","2,481,300","SPG"
"73","Nov 06, 2017","154.98","155.40","153.74","154.99","151.30","2,230,300","SPG"
"74","Nov 03, 2017","156.37","157.72","154.70","155.00","151.31","2,114,200","SPG"
"75","Nov 02, 2017","156.98","160.27","156.74","159.36","155.56","1,690,100","SPG"
"76","Nov 01, 2017","155.99","157.73","155.29","157.09","153.35","1,539,800","SPG"
"77","Oct 31, 2017","157.40","157.61","154.05","155.33","151.63","2,357,300","SPG"
"78","Oct 30, 2017","156.57","158.27","156.14","157.74","153.98","1,371,900","SPG"
"79","Oct 27, 2017","161.25","162.00","153.71","156.66","152.93","3,493,800","SPG"
"80","Oct 26, 2017","164.19","164.83","161.64","163.76","159.86","1,868,200","SPG"
"81","Oct 25, 2017","163.06","163.88","161.08","163.68","159.78","1,220,700","SPG"
