"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","36.98","37.39","36.86","37.14","37.14","19,702,900","T"
"2","Feb 15, 2018","36.47","37.00","36.23","37.00","37.00","27,507,200","T"
"3","Feb 14, 2018","36.40","36.77","36.11","36.41","36.41","24,834,200","T"
"4","Feb 13, 2018","36.29","36.71","35.97","36.60","36.60","22,877,200","T"
"5","Feb 12, 2018","36.33","36.60","35.97","36.37","36.37","27,750,700","T"
"6","Feb 09, 2018","35.83","36.35","35.03","36.05","36.05","50,218,400","T"
"7","Feb 08, 2018","36.89","36.95","35.57","35.57","35.57","45,743,000","T"
"8","Feb 07, 2018","36.81","37.45","36.74","36.93","36.93","35,634,500","T"
"9","Feb 06, 2018","36.08","37.07","35.50","36.83","36.83","62,905,300","T"
"10","Feb 05, 2018","37.81","38.31","36.63","36.63","36.63","45,595,500","T"
"11","Feb 02, 2018","39.03","39.04","37.81","38.07","38.07","46,098,700","T"
"12","Feb 01, 2018","38.51","39.29","38.40","39.16","39.16","59,963,800","T"
"13","Jan 31, 2018","37.42","37.92","37.33","37.45","37.45","41,422,400","T"
"14","Jan 30, 2018","37.36","37.80","37.30","37.44","37.44","29,883,200","T"
"15","Jan 29, 2018","37.13","37.68","36.98","37.26","37.26","30,879,600","T"
"16","Jan 26, 2018","37.46","37.82","37.36","37.82","37.82","21,608,500","T"
"17","Jan 25, 2018","37.09","37.45","36.84","37.45","37.45","23,400,300","T"
"18","Jan 24, 2018","37.29","37.39","36.98","37.02","37.02","28,567,800","T"
"19","Jan 23, 2018","37.95","38.22","37.03","37.19","37.19","33,036,000","T"
"20","Jan 22, 2018","37.20","37.90","36.98","37.87","37.87","31,660,600","T"
"21","Jan 19, 2018","37.37","37.37","36.94","37.21","37.21","27,919,800","T"
"22","Jan 18, 2018","36.84","37.38","36.81","37.15","37.15","27,661,100","T"
"23","Jan 17, 2018","36.77","36.95","36.49","36.85","36.85","22,050,200","T"
"24","Jan 16, 2018","36.90","37.02","36.54","36.72","36.72","24,727,600","T"
"25","Jan 12, 2018","36.48","36.99","36.32","36.90","36.90","31,182,200","T"
"26","Jan 11, 2018","36.67","36.77","36.37","36.48","36.48","41,400,300","T"
"27","Jan 10, 2018","37.39","37.39","36.54","36.62","36.62","41,078,600","T"
"28","Jan 09, 2018","37.63","37.99","37.48","37.49","37.49","28,061,100","T"
"29","Jan 09, 2018","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","T"
"30","Jan 08, 2018","38.15","38.48","37.85","38.25","37.75","26,643,900","T"
"31","Jan 05, 2018","38.14","38.16","37.80","38.14","37.64","22,194,900","T"
"32","Jan 04, 2018","37.75","38.19","37.26","38.00","37.50","27,865,700","T"
"33","Jan 03, 2018","38.47","38.49","37.53","37.65","37.16","39,162,500","T"
"34","Jan 02, 2018","39.06","39.06","38.36","38.54","38.04","32,195,600","T"
"35","Dec 29, 2017","39.22","39.32","38.88","38.88","38.37","26,479,900","T"
"36","Dec 28, 2017","39.00","39.20","38.88","39.18","38.67","15,627,400","T"
"37","Dec 27, 2017","39.08","39.14","38.71","38.89","38.38","16,339,300","T"
"38","Dec 26, 2017","38.95","39.33","38.95","39.06","38.55","13,578,200","T"
"39","Dec 22, 2017","38.78","39.11","38.70","38.94","38.43","19,960,500","T"
"40","Dec 21, 2017","38.56","39.29","38.47","38.88","38.37","31,981,700","T"
"41","Dec 20, 2017","38.27","38.84","38.18","38.55","38.05","26,968,900","T"
"42","Dec 19, 2017","38.46","38.68","38.03","38.05","37.55","29,181,800","T"
"43","Dec 18, 2017","38.50","38.89","38.39","38.46","37.96","31,497,200","T"
"44","Dec 15, 2017","38.14","38.29","37.93","38.24","37.74","46,808,600","T"
"45","Dec 14, 2017","37.86","38.16","37.68","37.74","37.25","34,286,500","T"
"46","Dec 13, 2017","38.01","38.19","37.37","38.04","37.54","39,671,400","T"
"47","Dec 12, 2017","38.03","38.17","36.98","38.10","37.60","46,399,900","T"
"48","Dec 11, 2017","36.69","36.94","36.52","36.90","36.42","23,666,700","T"
"49","Dec 08, 2017","36.40","36.75","36.15","36.73","36.25","25,507,400","T"
"50","Dec 07, 2017","36.13","36.40","35.81","36.17","35.70","24,528,600","T"
"51","Dec 06, 2017","36.16","36.45","36.03","36.11","35.64","31,172,200","T"
"52","Dec 05, 2017","36.82","37.29","36.52","36.55","36.07","33,055,400","T"
"53","Dec 04, 2017","36.80","37.54","36.75","37.27","36.78","40,482,400","T"
"54","Dec 01, 2017","36.35","36.75","35.92","36.50","36.02","31,437,100","T"
"55","Nov 30, 2017","36.50","36.90","36.03","36.38","35.90","49,831,300","T"
"56","Nov 29, 2017","36.37","36.55","35.41","36.48","36.00","53,178,100","T"
"57","Nov 28, 2017","34.56","35.54","34.56","35.42","34.96","34,450,400","T"
"58","Nov 27, 2017","34.84","35.01","34.55","34.68","34.23","26,793,400","T"
"59","Nov 24, 2017","34.87","34.95","34.74","34.81","34.35","9,203,100","T"
"60","Nov 22, 2017","34.28","34.91","34.20","34.87","34.41","26,453,900","T"
