"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","76.14","76.81","75.31","75.70","75.70","4,251,100","TGT"
"2","Feb 15, 2018","75.72","76.21","75.12","76.04","76.04","3,428,600","TGT"
"3","Feb 14, 2018","74.29","76.62","74.06","75.35","75.35","7,388,700","TGT"
"4","Feb 13, 2018","71.86","73.95","71.68","73.88","73.88","4,417,500","TGT"
"5","Feb 12, 2018","73.13","73.23","71.53","71.88","71.88","4,624,500","TGT"
"6","Feb 09, 2018","71.81","72.97","68.91","72.45","72.45","7,733,200","TGT"
"7","Feb 08, 2018","73.51","73.89","71.07","71.11","71.11","5,705,500","TGT"
"8","Feb 07, 2018","72.53","74.15","72.34","73.25","73.25","6,521,900","TGT"
"9","Feb 06, 2018","69.54","73.06","68.39","72.71","72.71","8,051,600","TGT"
"10","Feb 05, 2018","72.45","74.17","70.51","70.77","70.77","6,518,200","TGT"
"11","Feb 02, 2018","74.28","74.49","72.72","72.95","72.95","6,807,800","TGT"
"12","Feb 01, 2018","74.63","75.65","74.15","74.97","74.97","4,649,100","TGT"
"13","Jan 31, 2018","75.39","75.75","74.60","75.22","75.22","8,706,300","TGT"
"14","Jan 30, 2018","76.39","76.70","74.82","75.10","75.10","5,626,300","TGT"
"15","Jan 29, 2018","76.67","77.14","76.38","76.80","76.80","3,489,400","TGT"
"16","Jan 26, 2018","76.62","77.02","75.82","76.95","76.95","4,981,200","TGT"
"17","Jan 25, 2018","77.55","77.56","75.76","76.30","76.30","6,347,700","TGT"
"18","Jan 24, 2018","78.29","78.29","76.37","76.89","76.89","9,765,100","TGT"
"19","Jan 23, 2018","78.58","78.70","77.84","78.12","78.12","5,372,700","TGT"
"20","Jan 22, 2018","78.11","78.64","77.57","78.58","78.58","5,621,600","TGT"
"21","Jan 19, 2018","78.17","78.17","76.89","78.10","78.10","7,808,100","TGT"
"22","Jan 18, 2018","76.86","77.91","76.26","77.90","77.90","7,668,600","TGT"
"23","Jan 17, 2018","74.99","77.25","74.83","76.82","76.82","7,083,700","TGT"
"24","Jan 16, 2018","76.88","77.58","74.64","74.96","74.96","10,167,900","TGT"
"25","Jan 12, 2018","74.54","77.00","74.45","76.80","76.80","14,846,000","TGT"
"26","Jan 11, 2018","70.90","74.06","70.50","74.00","74.00","12,186,000","TGT"
"27","Jan 10, 2018","69.41","71.76","69.30","70.73","70.73","10,985,200","TGT"
"28","Jan 09, 2018","69.52","70.02","68.50","69.14","69.14","18,160,800","TGT"
"29","Jan 08, 2018","67.20","68.32","66.25","67.18","67.18","8,337,200","TGT"
"30","Jan 05, 2018","66.38","66.74","65.95","66.55","66.55","5,549,700","TGT"
"31","Jan 04, 2018","67.23","67.82","65.06","65.85","65.85","7,124,500","TGT"
"32","Jan 03, 2018","68.63","68.84","67.10","67.17","67.17","6,057,500","TGT"
"33","Jan 02, 2018","65.95","68.13","65.95","67.63","67.63","8,509,000","TGT"
"34","Dec 29, 2017","65.21","65.74","64.89","65.25","65.25","5,058,100","TGT"
"35","Dec 28, 2017","65.23","65.41","64.60","64.82","64.82","2,467,500","TGT"
"36","Dec 27, 2017","66.00","66.11","65.07","65.14","65.14","3,510,600","TGT"
"37","Dec 26, 2017","65.40","66.45","65.25","65.82","65.82","2,637,700","TGT"
"38","Dec 22, 2017","65.47","65.47","64.67","65.39","65.39","3,938,900","TGT"
"39","Dec 21, 2017","64.60","65.74","64.52","65.22","65.22","7,640,900","TGT"
"40","Dec 20, 2017","64.20","65.24","64.17","64.48","64.48","8,163,800","TGT"
"41","Dec 19, 2017","64.33","64.64","63.87","64.06","64.06","6,424,900","TGT"
"42","Dec 18, 2017","63.35","64.42","63.35","64.08","64.08","6,372,500","TGT"
"43","Dec 15, 2017","62.71","63.20","62.35","62.61","62.61","9,152,100","TGT"
"44","Dec 14, 2017","63.07","63.70","61.89","61.94","61.94","6,332,000","TGT"
"45","Dec 13, 2017","60.85","62.83","60.80","62.67","62.67","7,998,100","TGT"
"46","Dec 12, 2017","61.76","61.95","60.88","61.02","61.02","4,769,300","TGT"
"47","Dec 11, 2017","61.58","62.17","61.15","61.76","61.76","4,315,300","TGT"
"48","Dec 08, 2017","61.10","61.83","60.65","61.37","61.37","3,666,500","TGT"
"49","Dec 07, 2017","60.88","61.66","60.50","61.09","61.09","3,965,300","TGT"
"50","Dec 06, 2017","61.13","62.28","60.55","60.72","60.72","5,562,300","TGT"
"51","Dec 05, 2017","62.39","62.48","60.45","62.20","62.20","8,184,300","TGT"
"52","Dec 04, 2017","60.65","63.03","60.54","62.56","62.56","11,463,100","TGT"
"53","Dec 01, 2017","60.00","60.47","58.90","59.51","59.51","8,318,000","TGT"
"54","Nov 30, 2017","61.65","63.10","59.84","59.90","59.90","14,923,100","TGT"
"55","Nov 29, 2017","56.82","61.78","56.82","61.68","61.68","18,820,900","TGT"
"56","Nov 28, 2017","56.02","56.75","55.42","56.62","56.62","6,312,100","TGT"
"57","Nov 27, 2017","56.20","56.39","55.25","55.84","55.84","8,277,500","TGT"
"58","Nov 24, 2017","58.05","58.13","55.83","55.88","55.88","5,892,400","TGT"
"59","Nov 22, 2017","57.42","57.76","57.07","57.49","57.49","2,867,400","TGT"
"60","Nov 21, 2017","57.85","58.07","56.79","57.25","57.25","6,318,400","TGT"
"61","Nov 20, 2017","57.97","58.21","57.11","57.88","57.88","7,973,000","TGT"
"62","Nov 17, 2017","55.76","58.74","55.72","58.14","58.14","16,719,400","TGT"
"63","Nov 16, 2017","54.51","55.32","54.13","55.10","55.10","12,744,700","TGT"
"64","Nov 15, 2017","56.26","57.91","54.04","54.16","54.16","34,811,200","TGT"
"65","Nov 14, 2017","59.59","60.31","59.15","60.09","60.09","8,018,700","TGT"
"66","Nov 14, 2017","0.62 Dividend","0.62 Dividend","0.62 Dividend","0.62 Dividend","0.62 Dividend","0.62 Dividend","TGT"
"67","Nov 13, 2017","61.40","61.95","60.15","60.40","59.78","6,608,800","TGT"
"68","Nov 10, 2017","59.91","61.41","59.91","61.40","60.77","6,854,500","TGT"
"69","Nov 09, 2017","57.66","60.15","57.19","59.90","59.29","8,496,200","TGT"
"70","Nov 08, 2017","57.86","58.95","57.38","58.37","57.77","4,921,600","TGT"
"71","Nov 07, 2017","59.07","59.11","57.66","57.89","57.30","6,587,600","TGT"
"72","Nov 06, 2017","59.30","59.40","58.71","59.29","58.68","4,538,700","TGT"
"73","Nov 03, 2017","59.67","60.12","59.29","59.36","58.75","3,992,500","TGT"
"74","Nov 02, 2017","59.14","59.95","58.60","59.79","59.18","4,790,500","TGT"
"75","Nov 01, 2017","58.80","59.42","58.62","58.86","58.26","4,710,500","TGT"
"76","Oct 31, 2017","59.49","59.76","58.91","59.04","58.43","6,458,100","TGT"
"77","Oct 30, 2017","60.18","60.20","59.31","59.55","58.94","6,162,200","TGT"
"78","Oct 27, 2017","61.45","61.56","59.86","60.26","59.64","6,964,400","TGT"
"79","Oct 26, 2017","62.10","62.67","61.64","62.01","61.37","4,287,300","TGT"
"80","Oct 25, 2017","62.74","62.97","61.37","61.92","61.28","6,352,500","TGT"
"81","Oct 24, 2017","62.87","63.24","62.30","62.93","62.28","5,644,700","TGT"
"82","Oct 23, 2017","61.81","63.62","61.66","62.58","61.94","8,877,800","TGT"
