"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","94.82","95.93","94.73","95.37","95.37","6,292,600","TWX"
"2","Feb 15, 2018","94.75","95.00","94.16","94.99","94.99","3,174,100","TWX"
"3","Feb 14, 2018","94.09","95.08","93.79","94.52","94.52","3,195,400","TWX"
"4","Feb 13, 2018","93.31","94.69","93.05","94.31","94.31","3,706,300","TWX"
"5","Feb 12, 2018","92.76","93.92","92.02","93.61","93.61","5,603,500","TWX"
"6","Feb 09, 2018","93.54","93.77","91.17","92.40","92.40","8,077,100","TWX"
"7","Feb 08, 2018","95.17","95.34","92.93","93.02","93.02","5,383,600","TWX"
"8","Feb 07, 2018","95.17","96.47","94.96","95.11","95.11","5,192,800","TWX"
"9","Feb 06, 2018","94.48","95.99","93.62","95.16","95.16","11,414,200","TWX"
"10","Feb 05, 2018","96.83","97.50","94.71","95.39","95.39","8,111,400","TWX"
"11","Feb 02, 2018","97.00","97.55","96.29","96.75","96.75","6,076,600","TWX"
"12","Feb 01, 2018","96.45","97.81","95.98","97.00","97.00","8,997,300","TWX"
"13","Jan 31, 2018","94.96","95.40","94.55","95.35","95.35","5,705,600","TWX"
"14","Jan 30, 2018","94.39","94.84","93.99","94.45","94.45","6,086,100","TWX"
"15","Jan 29, 2018","94.41","94.85","94.00","94.50","94.50","3,667,900","TWX"
"16","Jan 26, 2018","94.30","94.90","94.04","94.83","94.83","3,634,500","TWX"
"17","Jan 25, 2018","94.06","94.30","93.66","94.08","94.08","3,937,300","TWX"
"18","Jan 24, 2018","93.89","94.07","93.36","93.83","93.83","4,080,700","TWX"
"19","Jan 23, 2018","94.02","94.12","93.28","93.66","93.66","4,262,600","TWX"
"20","Jan 22, 2018","93.36","94.03","93.11","94.00","94.00","5,266,800","TWX"
"21","Jan 19, 2018","93.07","93.80","92.54","93.36","93.36","5,456,400","TWX"
"22","Jan 18, 2018","92.33","93.02","92.02","92.97","92.97","3,953,000","TWX"
"23","Jan 17, 2018","92.25","92.26","91.59","92.17","92.17","2,907,400","TWX"
"24","Jan 16, 2018","92.40","92.42","91.61","91.91","91.91","3,971,800","TWX"
"25","Jan 12, 2018","91.81","92.16","91.35","92.05","92.05","3,068,300","TWX"
"26","Jan 11, 2018","91.90","92.20","91.55","91.89","91.89","3,150,500","TWX"
"27","Jan 10, 2018","92.08","92.28","91.32","92.09","92.09","3,982,000","TWX"
"28","Jan 09, 2018","92.45","92.97","92.06","92.28","92.28","4,620,800","TWX"
"29","Jan 09, 2018","0.403 Dividend","0.403 Dividend","0.403 Dividend","0.403 Dividend","0.403 Dividend","0.403 Dividend","TWX"
"30","Jan 08, 2018","93.27","93.50","92.48","93.06","92.66","11,114,100","TWX"
"31","Jan 05, 2018","92.75","94.00","92.24","93.60","93.19","5,438,500","TWX"
"32","Jan 04, 2018","91.50","92.63","91.37","92.63","92.23","3,545,000","TWX"
"33","Jan 03, 2018","92.20","92.30","91.26","91.50","91.10","4,033,100","TWX"
"34","Jan 02, 2018","91.74","92.26","91.64","91.91","91.51","5,215,400","TWX"
"35","Dec 29, 2017","91.53","91.74","91.34","91.47","91.07","2,649,800","TWX"
"36","Dec 28, 2017","91.46","91.65","91.20","91.61","91.21","1,550,700","TWX"
"37","Dec 27, 2017","91.85","91.89","90.90","91.37","90.97","3,447,200","TWX"
"38","Dec 26, 2017","92.44","92.59","91.53","91.65","91.25","2,018,900","TWX"
"39","Dec 22, 2017","92.89","93.17","92.26","92.38","91.98","6,305,400","TWX"
"40","Dec 21, 2017","90.74","92.96","90.71","92.95","92.55","9,652,000","TWX"
"41","Dec 20, 2017","90.05","90.78","89.91","90.58","90.19","5,168,000","TWX"
"42","Dec 19, 2017","89.95","90.24","89.76","89.88","89.49","3,724,800","TWX"
"43","Dec 18, 2017","90.44","90.99","89.78","89.79","89.40","4,955,700","TWX"
"44","Dec 15, 2017","90.12","90.45","89.68","90.25","89.86","11,007,400","TWX"
"45","Dec 14, 2017","90.10","90.38","89.65","89.65","89.26","6,077,400","TWX"
"46","Dec 13, 2017","90.50","90.86","89.90","90.06","89.67","8,529,100","TWX"
"47","Dec 12, 2017","91.20","91.28","90.19","90.65","90.26","6,198,000","TWX"
"48","Dec 11, 2017","90.77","91.14","90.38","90.82","90.43","2,954,800","TWX"
"49","Dec 08, 2017","90.28","90.77","89.90","90.71","90.32","3,077,700","TWX"
"50","Dec 07, 2017","90.56","91.18","89.84","90.37","89.98","7,195,300","TWX"
"51","Dec 06, 2017","91.12","91.17","90.20","90.38","89.99","4,704,200","TWX"
"52","Dec 05, 2017","92.65","92.77","90.75","91.08","90.69","4,543,500","TWX"
"53","Dec 04, 2017","91.87","93.08","91.84","92.71","92.31","6,077,900","TWX"
"54","Dec 01, 2017","91.34","91.90","90.72","91.30","90.90","4,291,200","TWX"
"55","Nov 30, 2017","91.26","91.77","90.85","91.51","91.11","8,553,400","TWX"
"56","Nov 29, 2017","90.12","91.00","89.80","90.92","90.53","8,280,900","TWX"
"57","Nov 28, 2017","89.39","89.95","89.00","89.62","89.23","4,815,500","TWX"
"58","Nov 27, 2017","89.58","89.61","89.02","89.07","88.68","3,453,000","TWX"
"59","Nov 24, 2017","90.02","90.20","89.50","89.50","89.11","1,768,400","TWX"
"60","Nov 22, 2017","89.62","90.26","89.57","90.01","89.62","5,497,300","TWX"
"61","Nov 21, 2017","88.20","89.93","88.20","89.56","89.17","14,425,100","TWX"
"62","Nov 20, 2017","88.75","88.85","87.03","87.71","87.33","12,782,000","TWX"
"63","Nov 17, 2017","88.20","89.11","87.81","88.72","88.34","8,439,700","TWX"
"64","Nov 16, 2017","87.70","88.70","86.75","88.01","87.63","13,555,800","TWX"
"65","Nov 15, 2017","85.94","87.57","85.88","87.37","86.99","13,526,100","TWX"
"66","Nov 14, 2017","88.64","88.64","87.24","87.51","87.13","12,007,200","TWX"
"67","Nov 13, 2017","88.60","89.50","88.42","88.49","88.11","12,820,500","TWX"
"68","Nov 10, 2017","88.39","91.49","88.17","90.60","90.21","26,863,700","TWX"
"69","Nov 09, 2017","87.75","89.40","86.38","87.05","86.67","31,491,600","TWX"
"70","Nov 08, 2017","91.80","92.43","88.12","88.50","88.12","56,168,000","TWX"
"71","Nov 07, 2017","94.39","95.12","94.20","94.66","94.25","5,281,700","TWX"
"72","Nov 06, 2017","92.94","94.56","92.80","94.46","94.05","6,712,800","TWX"
"73","Nov 03, 2017","94.91","95.36","92.87","93.28","92.88","14,765,400","TWX"
"74","Nov 02, 2017","98.28","99.85","92.02","94.70","94.29","32,787,300","TWX"
"75","Nov 01, 2017","98.62","99.14","97.78","98.39","97.96","7,608,400","TWX"
"76","Oct 31, 2017","98.44","98.71","98.01","98.29","97.86","7,090,000","TWX"
"77","Oct 30, 2017","98.65","98.99","97.57","98.49","98.06","5,008,900","TWX"
"78","Oct 27, 2017","99.00","99.42","98.71","98.79","98.36","9,898,600","TWX"
"79","Oct 26, 2017","99.54","99.65","98.97","98.97","98.54","7,340,400","TWX"
"80","Oct 25, 2017","100.17","100.17","98.68","98.72","98.29","9,471,500","TWX"
"81","Oct 24, 2017","101.25","101.38","100.49","100.50","100.06","5,730,300","TWX"
"82","Oct 23, 2017","101.72","102.11","101.28","101.33","100.89","4,675,800","TWX"
"83","Oct 20, 2017","102.53","102.53","101.57","101.83","101.39","5,503,200","TWX"
"84","Oct 19, 2017","101.94","102.70","101.81","102.20","101.76","5,317,600","TWX"
"85","Oct 18, 2017","101.41","101.84","100.93","101.48","101.04","4,871,600","TWX"
