"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","104.28","105.54","103.88","104.47","104.47","4,661,400","TXN"
"2","Feb 15, 2018","103.82","104.58","101.54","104.57","104.57","5,264,800","TXN"
"3","Feb 14, 2018","99.85","102.96","99.85","102.68","102.68","7,413,500","TXN"
"4","Feb 13, 2018","101.11","101.73","100.12","100.98","100.98","5,061,400","TXN"
"5","Feb 12, 2018","101.55","102.55","100.43","101.94","101.94","6,673,700","TXN"
"6","Feb 09, 2018","99.52","101.30","96.99","100.49","100.49","11,599,300","TXN"
"7","Feb 08, 2018","102.03","102.61","97.60","97.66","97.66","11,506,600","TXN"
"8","Feb 07, 2018","104.60","105.68","101.91","101.98","101.98","10,009,100","TXN"
"9","Feb 06, 2018","102.62","106.66","102.25","105.87","105.87","9,266,900","TXN"
"10","Feb 05, 2018","107.02","109.12","103.38","104.21","104.21","8,460,400","TXN"
"11","Feb 02, 2018","109.02","110.23","107.52","107.66","107.66","7,474,400","TXN"
"12","Feb 01, 2018","108.75","110.75","108.57","110.08","110.08","5,828,200","TXN"
"13","Jan 31, 2018","110.98","110.99","108.30","109.67","109.67","7,362,500","TXN"
"14","Jan 30, 2018","111.20","111.47","109.30","109.89","109.89","6,492,900","TXN"
"15","Jan 30, 2018","0.62 Dividend","0.62 Dividend","0.62 Dividend","0.62 Dividend","0.62 Dividend","0.62 Dividend","TXN"
"16","Jan 29, 2018","112.47","113.40","111.25","112.65","112.03","6,389,300","TXN"
"17","Jan 26, 2018","110.93","114.00","109.54","113.69","113.06","7,801,600","TXN"
"18","Jan 25, 2018","110.86","111.71","109.08","110.15","109.54","8,564,800","TXN"
"19","Jan 24, 2018","111.14","114.00","108.68","109.70","109.10","19,223,900","TXN"
"20","Jan 23, 2018","120.02","120.75","118.90","119.89","119.23","8,087,100","TXN"
"21","Jan 22, 2018","117.92","119.48","117.46","119.44","118.78","7,217,400","TXN"
"22","Jan 19, 2018","117.01","117.56","115.71","116.83","116.19","6,367,300","TXN"
"23","Jan 18, 2018","119.00","119.98","116.00","116.41","115.77","7,970,300","TXN"
"24","Jan 17, 2018","113.95","119.43","113.51","119.16","118.50","6,916,700","TXN"
"25","Jan 16, 2018","113.55","113.91","111.94","112.92","112.30","9,251,500","TXN"
"26","Jan 12, 2018","110.74","113.00","110.58","112.72","112.10","4,577,800","TXN"
"27","Jan 11, 2018","110.05","110.76","109.43","110.67","110.06","3,903,700","TXN"
"28","Jan 10, 2018","109.85","109.99","108.21","109.70","109.10","5,737,400","TXN"
"29","Jan 09, 2018","109.62","110.98","109.08","110.39","109.78","4,747,800","TXN"
"30","Jan 08, 2018","108.55","110.37","108.41","109.64","109.04","4,549,400","TXN"
"31","Jan 05, 2018","108.70","109.23","108.29","109.12","108.52","5,254,900","TXN"
"32","Jan 04, 2018","108.48","109.21","108.05","108.29","107.69","5,460,400","TXN"
"33","Jan 03, 2018","105.88","108.51","105.60","108.43","107.83","6,918,900","TXN"
"34","Jan 02, 2018","105.11","105.62","104.50","105.57","104.99","4,236,200","TXN"
"35","Dec 29, 2017","104.58","105.08","104.42","104.44","103.87","2,813,300","TXN"
"36","Dec 28, 2017","104.92","104.92","104.22","104.82","104.24","1,910,700","TXN"
"37","Dec 27, 2017","104.42","104.90","103.98","104.53","103.95","1,775,600","TXN"
"38","Dec 26, 2017","103.58","104.19","103.06","104.15","103.58","1,473,800","TXN"
"39","Dec 22, 2017","104.00","104.34","103.64","104.13","103.56","3,041,300","TXN"
"40","Dec 21, 2017","105.16","105.33","104.01","104.07","103.50","4,709,100","TXN"
"41","Dec 20, 2017","104.90","105.15","103.48","104.80","104.22","5,529,800","TXN"
"42","Dec 19, 2017","103.19","104.30","103.08","104.10","103.53","5,235,700","TXN"
"43","Dec 18, 2017","102.10","103.37","101.65","103.27","102.70","5,927,700","TXN"
"44","Dec 15, 2017","101.28","101.60","100.07","101.22","100.66","9,114,800","TXN"
"45","Dec 14, 2017","98.96","100.54","98.78","100.25","99.70","7,106,700","TXN"
"46","Dec 13, 2017","98.97","99.18","98.21","98.86","98.32","5,282,100","TXN"
"47","Dec 12, 2017","98.70","99.19","98.23","98.43","97.89","6,083,100","TXN"
"48","Dec 11, 2017","98.07","98.88","97.77","98.83","98.29","5,579,200","TXN"
"49","Dec 08, 2017","98.92","99.31","97.78","98.02","97.48","5,591,400","TXN"
"50","Dec 07, 2017","97.32","98.14","96.94","97.78","97.24","4,848,200","TXN"
"51","Dec 06, 2017","96.25","97.45","95.87","97.02","96.49","4,675,500","TXN"
"52","Dec 05, 2017","95.98","98.72","95.36","96.90","96.37","4,898,100","TXN"
"53","Dec 04, 2017","97.54","97.88","95.27","95.97","95.44","5,183,800","TXN"
"54","Dec 01, 2017","96.54","97.41","94.72","97.18","96.65","5,020,500","TXN"
"55","Nov 30, 2017","97.38","98.47","96.70","97.29","96.75","7,591,200","TXN"
"56","Nov 29, 2017","99.73","99.79","96.45","96.88","96.35","5,562,200","TXN"
"57","Nov 28, 2017","99.09","99.73","98.62","99.48","98.93","3,037,400","TXN"
"58","Nov 27, 2017","98.95","99.25","98.61","98.63","98.09","3,166,300","TXN"
"59","Nov 24, 2017","98.20","99.33","98.19","99.30","98.75","1,288,300","TXN"
"60","Nov 22, 2017","99.15","99.35","98.07","98.08","97.54","2,142,000","TXN"
"61","Nov 21, 2017","98.75","99.65","98.65","99.19","98.64","3,998,500","TXN"
"62","Nov 20, 2017","97.81","98.92","97.80","98.28","97.74","2,953,700","TXN"
"63","Nov 17, 2017","98.56","98.56","97.61","97.74","97.20","3,788,200","TXN"
"64","Nov 16, 2017","97.07","98.63","97.05","98.32","97.78","3,564,400","TXN"
"65","Nov 15, 2017","96.62","98.03","96.28","96.77","96.24","3,355,600","TXN"
"66","Nov 14, 2017","96.70","97.23","96.35","96.96","96.43","3,252,600","TXN"
"67","Nov 13, 2017","96.40","97.29","96.35","97.03","96.50","2,284,000","TXN"
"68","Nov 10, 2017","96.67","97.05","96.40","96.94","96.41","3,416,700","TXN"
"69","Nov 09, 2017","97.60","98.03","95.63","97.05","96.52","4,239,800","TXN"
"70","Nov 08, 2017","98.31","98.76","97.89","98.44","97.90","3,265,600","TXN"
"71","Nov 07, 2017","98.55","99.05","98.28","98.40","97.86","4,314,600","TXN"
"72","Nov 06, 2017","97.82","98.67","97.67","98.54","98.00","4,391,700","TXN"
