"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","225.99","230.55","225.70","229.37","229.37","3,602,300","UNH"
"2","Feb 15, 2018","229.27","230.00","221.74","226.02","226.02","4,662,700","UNH"
"3","Feb 14, 2018","224.95","229.34","223.92","228.78","228.78","2,878,400","UNH"
"4","Feb 13, 2018","223.15","227.12","222.39","226.64","226.64","3,536,800","UNH"
"5","Feb 12, 2018","222.44","228.00","222.15","225.69","225.69","4,912,000","UNH"
"6","Feb 09, 2018","218.00","223.28","212.01","220.96","220.96","6,225,300","UNH"
"7","Feb 08, 2018","225.33","226.63","216.26","216.46","216.46","4,902,400","UNH"
"8","Feb 07, 2018","222.33","229.29","221.51","225.82","225.82","5,589,200","UNH"
"9","Feb 06, 2018","212.20","226.51","210.21","225.18","225.18","7,064,800","UNH"
"10","Feb 05, 2018","230.79","233.11","208.48","220.02","220.02","6,290,000","UNH"
"11","Feb 02, 2018","233.00","236.30","231.19","231.88","231.88","3,959,900","UNH"
"12","Feb 01, 2018","235.26","237.82","233.83","235.22","235.22","4,268,300","UNH"
"13","Jan 31, 2018","242.84","247.00","235.76","236.78","236.78","5,187,400","UNH"
"14","Jan 30, 2018","232.88","242.74","232.10","236.65","236.65","11,565,500","UNH"
"15","Jan 29, 2018","249.28","250.79","247.40","247.41","247.41","2,564,700","UNH"
"16","Jan 26, 2018","245.00","248.74","244.46","248.47","248.47","2,615,300","UNH"
"17","Jan 25, 2018","244.75","246.19","243.90","245.18","245.18","2,420,500","UNH"
"18","Jan 24, 2018","246.01","247.31","243.71","244.85","244.85","2,733,300","UNH"
"19","Jan 23, 2018","242.99","246.98","242.41","245.21","245.21","3,300,000","UNH"
"20","Jan 22, 2018","243.59","243.80","241.36","243.56","243.56","4,012,200","UNH"
"21","Jan 19, 2018","244.18","244.35","241.07","243.35","243.35","4,293,600","UNH"
"22","Jan 18, 2018","239.26","243.90","238.55","243.16","243.16","6,234,200","UNH"
"23","Jan 17, 2018","234.67","238.96","233.85","238.43","238.43","5,124,800","UNH"
"24","Jan 16, 2018","233.37","235.00","231.25","232.90","232.90","6,852,600","UNH"
"25","Jan 12, 2018","227.45","229.90","226.52","228.64","228.64","3,943,800","UNH"
"26","Jan 11, 2018","224.18","225.92","223.70","225.39","225.39","2,543,600","UNH"
"27","Jan 10, 2018","224.83","225.01","223.03","224.20","224.20","2,311,600","UNH"
"28","Jan 09, 2018","224.76","226.63","223.30","225.88","225.88","2,672,200","UNH"
"29","Jan 08, 2018","228.13","228.71","224.61","224.76","224.76","2,850,800","UNH"
"30","Jan 05, 2018","225.19","229.05","224.72","228.73","228.73","2,432,800","UNH"
"31","Jan 04, 2018","224.34","226.10","224.17","224.45","224.45","2,749,100","UNH"
"32","Jan 03, 2018","221.62","223.81","220.52","223.48","223.48","2,417,600","UNH"
"33","Jan 02, 2018","221.02","222.45","220.00","221.16","221.16","3,485,000","UNH"
"34","Dec 29, 2017","223.95","223.95","220.46","220.46","220.46","2,350,200","UNH"
"35","Dec 28, 2017","221.46","222.79","220.15","222.77","222.77","1,452,600","UNH"
"36","Dec 27, 2017","219.98","221.44","219.25","220.42","220.42","1,861,900","UNH"
"37","Dec 26, 2017","219.09","220.42","219.09","219.60","219.60","1,482,400","UNH"
"38","Dec 22, 2017","222.00","222.35","218.45","220.00","220.00","1,959,700","UNH"
"39","Dec 21, 2017","223.12","223.94","221.37","221.69","221.69","2,955,300","UNH"
"40","Dec 20, 2017","223.11","224.89","221.73","222.38","222.38","2,633,200","UNH"
"41","Dec 19, 2017","222.99","223.79","220.85","222.04","222.04","2,340,200","UNH"
"42","Dec 18, 2017","222.60","224.81","222.19","222.67","222.67","3,194,100","UNH"
"43","Dec 15, 2017","223.75","223.75","220.63","221.82","221.82","6,293,400","UNH"
"44","Dec 14, 2017","225.00","226.97","221.01","221.25","221.25","2,811,700","UNH"
"45","Dec 13, 2017","221.74","224.95","221.23","224.35","224.35","3,059,400","UNH"
"46","Dec 12, 2017","221.40","223.42","221.26","222.49","222.49","2,294,100","UNH"
"47","Dec 11, 2017","222.51","224.82","222.04","222.77","222.77","1,599,500","UNH"
"48","Dec 08, 2017","220.55","224.33","220.22","223.91","223.91","2,233,300","UNH"
"49","Dec 07, 2017","220.59","220.61","218.19","220.15","220.15","2,661,600","UNH"
"50","Dec 06, 2017","221.02","221.96","219.03","219.94","219.94","2,397,500","UNH"
"51","Dec 05, 2017","221.00","223.72","219.16","220.09","220.09","3,246,300","UNH"
"52","Dec 04, 2017","229.26","231.77","221.40","221.42","221.42","5,591,500","UNH"
"53","Dec 01, 2017","228.89","229.22","221.08","226.78","226.78","3,325,800","UNH"
"54","Nov 30, 2017","223.83","228.75","222.29","228.17","228.17","6,846,400","UNH"
"55","Nov 30, 2017","0.75 Dividend","0.75 Dividend","0.75 Dividend","0.75 Dividend","0.75 Dividend","0.75 Dividend","UNH"
"56","Nov 29, 2017","217.70","224.27","217.36","222.88","222.13","4,247,200","UNH"
"57","Nov 28, 2017","213.88","216.31","212.51","216.14","215.41","2,905,700","UNH"
"58","Nov 27, 2017","212.25","214.25","211.81","212.40","211.69","2,856,300","UNH"
"59","Nov 24, 2017","212.00","212.93","211.00","212.51","211.79","744,000","UNH"
"60","Nov 22, 2017","212.26","212.81","210.76","211.22","210.51","2,257,800","UNH"
"61","Nov 21, 2017","211.13","212.85","210.75","212.60","211.88","2,327,200","UNH"
"62","Nov 20, 2017","210.00","210.68","209.58","210.25","209.54","2,040,400","UNH"
"63","Nov 17, 2017","210.46","211.46","209.15","209.90","209.19","1,887,500","UNH"
"64","Nov 16, 2017","210.38","212.01","209.90","211.13","210.42","1,919,600","UNH"
"65","Nov 15, 2017","210.88","211.98","209.62","209.86","209.15","1,816,300","UNH"
"66","Nov 14, 2017","212.21","212.70","210.92","211.71","211.00","1,993,900","UNH"
"67","Nov 13, 2017","210.31","213.54","209.94","212.66","211.94","2,662,200","UNH"
"68","Nov 10, 2017","211.46","211.81","210.20","211.07","210.36","1,384,700","UNH"
"69","Nov 09, 2017","210.59","211.76","209.13","211.56","210.85","1,839,700","UNH"
"70","Nov 08, 2017","212.08","212.93","210.70","210.77","210.06","2,261,100","UNH"
"71","Nov 07, 2017","212.74","213.54","210.89","212.70","211.98","1,845,800","UNH"
"72","Nov 06, 2017","211.91","213.93","211.80","212.12","211.41","2,293,700","UNH"
"73","Nov 03, 2017","210.72","213.83","210.10","212.87","212.15","2,196,900","UNH"
"74","Nov 02, 2017","210.11","211.49","209.01","211.10","210.39","2,825,900","UNH"
"75","Nov 01, 2017","211.62","212.63","208.92","209.53","208.82","1,902,900","UNH"
"76","Oct 31, 2017","209.39","210.52","207.80","210.22","209.51","3,749,600","UNH"
"77","Oct 30, 2017","212.21","212.77","209.38","209.39","208.69","2,477,400","UNH"
"78","Oct 27, 2017","209.15","212.77","208.55","212.60","211.88","4,385,300","UNH"
"79","Oct 26, 2017","207.92","211.70","207.58","209.15","208.45","4,346,000","UNH"
"80","Oct 25, 2017","208.32","209.14","207.07","207.56","206.86","2,908,300","UNH"
"81","Oct 24, 2017","206.38","208.23","205.88","208.15","207.45","3,459,900","UNH"
"82","Oct 23, 2017","207.58","208.45","205.80","207.01","206.31","2,261,400","UNH"
"83","Oct 20, 2017","204.26","208.21","203.69","207.49","206.79","5,138,800","UNH"
"84","Oct 19, 2017","205.47","205.75","202.70","203.25","202.57","3,471,800","UNH"
"85","Oct 18, 2017","203.80","207.80","203.68","205.23","204.54","4,796,300","UNH"
"86","Oct 17, 2017","196.80","206.62","196.37","203.89","203.20","8,949,700","UNH"
"87","Oct 16, 2017","192.48","193.32","191.36","193.20","192.55","2,927,400","UNH"
"88","Oct 13, 2017","189.59","192.71","186.00","192.52","191.87","5,435,000","UNH"
"89","Oct 12, 2017","195.01","195.36","192.73","192.92","192.27","2,954,700","UNH"
"90","Oct 11, 2017","194.63","196.07","193.59","195.26","194.60","2,935,600","UNH"
"91","Oct 10, 2017","196.26","196.43","193.67","194.68","194.02","2,499,100","UNH"
"92","Oct 09, 2017","198.01","198.32","195.78","196.30","195.64","3,365,400","UNH"
"93","Oct 06, 2017","197.90","199.99","197.51","198.06","197.39","3,361,900","UNH"
"94","Oct 05, 2017","199.93","199.93","196.56","197.90","197.23","4,069,000","UNH"
"95","Oct 04, 2017","199.03","200.73","198.43","200.48","199.81","2,286,400","UNH"
"96","Oct 03, 2017","197.50","199.44","197.26","198.63","197.96","2,533,800","UNH"
"97","Oct 02, 2017","196.59","197.91","196.33","197.44","196.78","2,893,600","UNH"
"98","Sep 29, 2017","195.82","196.09","194.48","195.85","195.19","2,646,300","UNH"
"99","Sep 28, 2017","194.25","196.55","193.51","196.10","195.44","2,088,400","UNH"
"100","Sep 27, 2017","193.20","195.62","191.74","194.49","193.84","3,267,200","UNH"
"101","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","UNH"
