"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","133.44","135.53","133.09","134.27","134.27","3,512,000","UNP"
"2","Feb 15, 2018","133.85","134.11","131.35","133.89","133.89","3,454,400","UNP"
"3","Feb 14, 2018","128.80","133.54","128.30","133.19","133.19","4,782,100","UNP"
"4","Feb 13, 2018","127.75","128.97","126.78","128.30","128.30","5,078,100","UNP"
"5","Feb 12, 2018","127.75","129.84","126.15","128.64","128.64","4,162,000","UNP"
"6","Feb 09, 2018","126.44","128.33","121.22","127.28","127.28","9,156,000","UNP"
"7","Feb 08, 2018","128.70","128.70","124.81","124.86","124.86","6,325,100","UNP"
"8","Feb 07, 2018","130.34","131.82","128.94","128.96","128.96","5,053,000","UNP"
"9","Feb 06, 2018","122.28","131.50","121.50","131.15","131.15","15,734,300","UNP"
"10","Feb 05, 2018","128.59","131.78","124.13","124.14","124.14","6,744,400","UNP"
"11","Feb 02, 2018","131.66","131.73","127.22","129.36","129.36","8,181,200","UNP"
"12","Feb 01, 2018","132.51","133.74","131.86","132.38","132.38","5,597,600","UNP"
"13","Jan 31, 2018","135.69","136.98","133.01","133.50","133.50","5,699,900","UNP"
"14","Jan 30, 2018","135.29","137.08","135.15","135.36","135.36","5,383,600","UNP"
"15","Jan 29, 2018","134.20","136.76","134.11","136.05","136.05","5,754,200","UNP"
"16","Jan 26, 2018","133.81","134.63","132.72","134.23","134.23","5,843,300","UNP"
"17","Jan 25, 2018","134.57","134.99","131.82","133.60","133.60","13,806,700","UNP"
"18","Jan 24, 2018","141.42","143.05","139.91","141.19","141.19","5,229,100","UNP"
"19","Jan 23, 2018","141.40","142.40","139.34","141.36","141.36","6,179,400","UNP"
"20","Jan 22, 2018","141.35","142.08","140.12","141.97","141.97","3,277,400","UNP"
"21","Jan 19, 2018","141.00","141.62","139.80","141.25","141.25","4,592,100","UNP"
"22","Jan 18, 2018","140.68","140.88","139.61","140.43","140.43","3,882,100","UNP"
"23","Jan 17, 2018","140.31","141.71","139.76","140.46","140.46","3,376,700","UNP"
"24","Jan 16, 2018","142.07","142.19","139.82","140.31","140.31","5,793,300","UNP"
"25","Jan 12, 2018","140.80","141.81","140.47","141.17","141.17","3,268,800","UNP"
"26","Jan 11, 2018","140.59","140.99","139.49","140.35","140.35","3,103,200","UNP"
"27","Jan 10, 2018","140.17","141.40","138.73","139.70","139.70","9,513,700","UNP"
"28","Jan 09, 2018","139.81","141.17","139.22","141.00","141.00","6,390,800","UNP"
"29","Jan 08, 2018","137.48","139.63","137.46","139.44","139.44","5,472,300","UNP"
"30","Jan 05, 2018","137.65","139.72","136.06","137.53","137.53","5,381,200","UNP"
"31","Jan 04, 2018","136.84","137.88","135.52","135.80","135.80","4,384,900","UNP"
"32","Jan 03, 2018","136.11","136.60","135.26","136.54","136.54","4,653,700","UNP"
"33","Jan 02, 2018","134.71","135.78","134.18","135.78","135.78","4,298,000","UNP"
"34","Dec 29, 2017","135.28","135.64","134.10","134.10","134.10","2,334,300","UNP"
"35","Dec 28, 2017","136.04","136.17","134.61","135.12","135.12","2,617,700","UNP"
"36","Dec 27, 2017","134.59","136.32","134.04","136.32","136.32","7,473,600","UNP"
"37","Dec 26, 2017","135.00","135.76","134.33","134.65","134.65","2,305,900","UNP"
"38","Dec 22, 2017","133.80","134.70","132.78","134.47","134.47","2,765,000","UNP"
"39","Dec 21, 2017","135.00","135.00","133.38","133.73","133.73","4,143,200","UNP"
"40","Dec 20, 2017","134.34","135.30","133.09","134.68","134.68","6,825,400","UNP"
"41","Dec 19, 2017","133.65","133.67","131.31","133.24","133.24","4,538,300","UNP"
"42","Dec 18, 2017","131.35","133.25","131.10","132.47","132.47","5,829,000","UNP"
"43","Dec 15, 2017","129.85","131.62","129.34","130.60","130.60","8,768,100","UNP"
"44","Dec 14, 2017","130.67","131.34","128.79","129.17","129.17","4,570,400","UNP"
"45","Dec 13, 2017","130.70","132.39","129.75","130.31","130.31","5,696,100","UNP"
"46","Dec 12, 2017","129.35","131.01","128.61","130.70","130.70","5,334,100","UNP"
