"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","107.11","107.66","105.90","106.40","106.40","6,090,600","UPS"
"2","Feb 16, 2018","0.91 Dividend","0.91 Dividend","0.91 Dividend","0.91 Dividend","0.91 Dividend","0.91 Dividend","UPS"
"3","Feb 15, 2018","107.15","108.33","105.52","108.31","107.40","5,535,100","UPS"
"4","Feb 14, 2018","106.69","107.10","105.09","106.60","105.70","6,504,000","UPS"
"5","Feb 13, 2018","105.99","108.77","105.50","107.56","106.66","7,557,900","UPS"
"6","Feb 12, 2018","107.00","107.08","105.41","106.31","105.42","6,677,300","UPS"
"7","Feb 09, 2018","108.10","108.11","103.81","106.39","105.50","11,369,600","UPS"
"8","Feb 08, 2018","111.76","112.50","109.23","109.28","108.36","6,999,100","UPS"
"9","Feb 07, 2018","112.39","113.26","111.62","111.91","110.97","7,219,700","UPS"
"10","Feb 06, 2018","112.62","115.89","109.68","112.71","111.76","11,749,100","UPS"
"11","Feb 05, 2018","115.89","116.31","113.21","113.30","112.35","8,119,600","UPS"
"12","Feb 02, 2018","118.99","119.14","115.52","116.47","115.49","9,235,600","UPS"
"13","Feb 01, 2018","119.22","121.00","118.07","119.51","118.51","14,405,900","UPS"
"14","Jan 31, 2018","128.50","128.97","126.25","127.32","126.25","5,788,300","UPS"
"15","Jan 30, 2018","130.37","130.74","128.10","128.11","127.03","4,124,900","UPS"
"16","Jan 29, 2018","132.76","133.56","130.61","130.64","129.54","2,753,800","UPS"
"17","Jan 26, 2018","131.21","132.72","131.04","132.72","131.60","2,044,500","UPS"
"18","Jan 25, 2018","131.96","131.97","129.71","131.29","130.19","3,166,800","UPS"
"19","Jan 24, 2018","132.51","132.96","130.15","131.69","130.58","2,862,900","UPS"
"20","Jan 23, 2018","132.87","132.87","130.91","132.07","130.96","2,952,700","UPS"
"21","Jan 22, 2018","132.52","132.99","131.14","132.86","131.74","3,100,000","UPS"
"22","Jan 19, 2018","133.86","134.02","131.92","133.08","131.96","3,891,700","UPS"
"23","Jan 18, 2018","134.65","135.53","133.53","133.59","132.47","3,371,100","UPS"
"24","Jan 17, 2018","133.53","134.30","132.39","134.01","132.88","3,508,800","UPS"
"25","Jan 16, 2018","134.41","134.71","131.76","132.88","131.76","4,126,500","UPS"
"26","Jan 12, 2018","133.45","134.33","133.00","134.09","132.96","4,212,500","UPS"
"27","Jan 11, 2018","130.36","133.77","130.02","133.46","132.34","4,252,300","UPS"
"28","Jan 10, 2018","128.52","130.46","128.49","129.79","128.70","2,927,900","UPS"
"29","Jan 09, 2018","129.23","130.00","128.86","129.11","128.03","2,957,700","UPS"
"30","Jan 08, 2018","128.11","129.52","127.74","129.17","128.08","3,243,000","UPS"
"31","Jan 05, 2018","127.82","128.66","125.77","127.62","126.55","3,699,200","UPS"
"32","Jan 04, 2018","127.01","128.95","126.71","127.23","126.16","5,473,100","UPS"
"33","Jan 03, 2018","124.15","126.69","123.90","126.41","125.35","5,655,600","UPS"
"34","Jan 02, 2018","120.04","123.71","119.61","123.67","122.63","5,413,000","UPS"
"35","Dec 29, 2017","119.05","120.32","119.00","119.15","118.15","2,614,400","UPS"
"36","Dec 28, 2017","119.49","119.56","118.51","119.05","118.05","1,367,300","UPS"
"37","Dec 27, 2017","118.20","119.13","118.05","119.08","118.08","1,508,000","UPS"
"38","Dec 26, 2017","118.94","119.08","118.09","118.26","117.27","1,309,100","UPS"
"39","Dec 22, 2017","119.00","119.00","118.21","118.64","117.64","1,933,400","UPS"
"40","Dec 21, 2017","118.85","118.85","117.50","118.58","117.58","3,377,700","UPS"
"41","Dec 20, 2017","120.68","120.73","118.22","118.33","117.34","3,420,000","UPS"
"42","Dec 19, 2017","119.16","119.49","118.55","119.00","118.00","2,111,200","UPS"
"43","Dec 18, 2017","118.78","119.92","118.61","118.81","117.81","2,581,000","UPS"
"44","Dec 15, 2017","117.45","118.60","117.31","118.00","117.01","4,997,200","UPS"
"45","Dec 14, 2017","118.34","118.34","116.33","116.84","115.86","2,817,400","UPS"
"46","Dec 13, 2017","118.48","119.33","118.04","118.40","117.41","2,738,500","UPS"
"47","Dec 12, 2017","117.91","118.88","117.61","118.16","117.17","2,541,000","UPS"
"48","Dec 11, 2017","118.08","119.41","117.56","118.05","117.06","2,765,500","UPS"
"49","Dec 08, 2017","120.06","120.13","117.89","119.56","118.56","3,030,400","UPS"
"50","Dec 07, 2017","118.36","120.02","117.85","119.73","118.72","3,280,000","UPS"
"51","Dec 06, 2017","118.44","119.95","117.97","118.29","117.30","3,347,000","UPS"
"52","Dec 05, 2017","123.83","124.00","120.28","120.37","119.36","3,690,900","UPS"
"53","Dec 04, 2017","122.10","125.16","122.10","123.72","122.68","4,535,000","UPS"
