"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","54.90","55.92","54.87","55.61","55.61","6,214,500","USB"
"2","Feb 15, 2018","55.60","56.04","54.90","55.10","55.10","7,054,600","USB"
"3","Feb 14, 2018","54.03","55.40","53.89","55.31","55.31","7,157,700","USB"
"4","Feb 13, 2018","53.70","54.36","53.58","54.14","54.14","5,558,100","USB"
"5","Feb 12, 2018","54.06","54.57","53.52","53.97","53.97","7,598,600","USB"
"6","Feb 09, 2018","53.32","54.08","51.87","53.75","53.75","12,512,500","USB"
"7","Feb 08, 2018","54.79","54.79","52.61","52.65","52.65","10,887,500","USB"
"8","Feb 07, 2018","54.50","55.68","54.40","54.80","54.80","11,005,300","USB"
"9","Feb 06, 2018","53.45","55.30","53.02","54.62","54.62","17,726,400","USB"
"10","Feb 05, 2018","56.37","56.92","54.48","54.62","54.62","11,580,900","USB"
"11","Feb 02, 2018","57.24","57.80","56.78","56.90","56.90","7,111,300","USB"
"12","Feb 01, 2018","56.93","57.46","56.71","57.46","57.46","5,357,600","USB"
"13","Jan 31, 2018","57.31","57.65","57.02","57.14","57.14","7,893,000","USB"
"14","Jan 30, 2018","57.64","58.09","57.39","57.40","57.40","5,069,000","USB"
"15","Jan 29, 2018","58.04","58.50","57.93","57.99","57.99","6,004,000","USB"
"16","Jan 26, 2018","57.96","58.11","57.50","58.11","58.11","6,057,600","USB"
"17","Jan 25, 2018","57.94","58.16","57.68","57.98","57.98","5,859,400","USB"
"18","Jan 24, 2018","57.31","57.94","57.31","57.75","57.75","5,612,700","USB"
"19","Jan 23, 2018","56.86","57.48","56.79","57.18","57.18","5,449,700","USB"
"20","Jan 22, 2018","56.54","57.26","56.54","57.26","57.26","7,687,200","USB"
"21","Jan 19, 2018","56.49","56.52","56.00","56.46","56.46","10,529,300","USB"
"22","Jan 18, 2018","56.52","56.81","56.09","56.15","56.15","9,218,100","USB"
"23","Jan 17, 2018","57.04","57.04","55.37","56.34","56.34","9,782,100","USB"
"24","Jan 16, 2018","57.54","57.69","56.93","57.17","57.17","8,840,200","USB"
"25","Jan 12, 2018","56.96","57.12","56.59","56.98","56.98","5,339,800","USB"
"26","Jan 11, 2018","56.48","56.74","56.22","56.68","56.68","6,146,900","USB"
"27","Jan 10, 2018","55.99","56.70","55.84","56.20","56.20","7,121,800","USB"
"28","Jan 09, 2018","55.55","56.27","55.48","55.78","55.78","6,392,100","USB"
"29","Jan 08, 2018","55.17","55.53","55.14","55.40","55.40","6,817,400","USB"
"30","Jan 05, 2018","55.43","55.50","54.95","55.32","55.32","6,863,200","USB"
"31","Jan 04, 2018","54.69","55.52","54.60","54.98","54.98","7,583,600","USB"
"32","Jan 03, 2018","54.00","54.77","53.95","54.56","54.56","5,043,800","USB"
"33","Jan 02, 2018","54.05","54.34","53.79","54.03","54.03","5,367,700","USB"
"34","Dec 29, 2017","54.12","54.15","53.58","53.58","53.58","3,949,800","USB"
"35","Dec 28, 2017","53.92","54.01","53.71","53.95","53.95","3,216,000","USB"
"36","Dec 28, 2017","0.3 Dividend","0.3 Dividend","0.3 Dividend","0.3 Dividend","0.3 Dividend","0.3 Dividend","USB"
"37","Dec 27, 2017","54.09","54.23","53.90","54.07","53.77","3,754,200","USB"
"38","Dec 26, 2017","54.49","54.67","53.83","54.01","53.71","2,807,000","USB"
"39","Dec 22, 2017","54.81","54.85","54.15","54.46","54.16","3,800,800","USB"
"40","Dec 21, 2017","54.66","54.81","54.26","54.53","54.23","3,926,400","USB"
"41","Dec 20, 2017","55.06","55.18","54.07","54.26","53.96","5,688,800","USB"
"42","Dec 19, 2017","55.09","55.13","54.54","54.56","54.26","5,964,900","USB"
"43","Dec 18, 2017","54.94","55.16","54.65","54.78","54.48","5,325,300","USB"
"44","Dec 15, 2017","54.56","54.92","54.23","54.50","54.20","13,109,900","USB"
"45","Dec 14, 2017","54.81","54.85","54.08","54.15","53.85","4,467,600","USB"
"46","Dec 13, 2017","55.44","55.62","54.57","54.60","54.30","5,046,600","USB"
"47","Dec 12, 2017","54.65","55.81","54.65","55.50","55.19","6,037,300","USB"
"48","Dec 11, 2017","55.16","55.58","55.12","55.27","54.96","3,892,000","USB"
"49","Dec 08, 2017","55.10","55.36","54.51","55.36","55.05","4,371,900","USB"
"50","Dec 07, 2017","54.85","55.08","54.23","54.90","54.60","4,404,400","USB"
"51","Dec 06, 2017","54.74","55.03","54.43","54.59","54.29","3,822,100","USB"
"52","Dec 05, 2017","55.63","55.80","54.66","54.82","54.52","6,004,100","USB"
"53","Dec 04, 2017","55.77","56.43","55.63","55.63","55.32","6,470,200","USB"
"54","Dec 01, 2017","55.23","55.39","53.70","54.90","54.60","7,258,900","USB"
"55","Nov 30, 2017","55.08","55.92","54.79","55.15","54.84","8,662,900","USB"
"56","Nov 29, 2017","53.38","54.95","53.37","54.76","54.46","10,938,000","USB"
"57","Nov 28, 2017","51.76","53.08","51.70","53.02","52.73","5,608,900","USB"
"58","Nov 27, 2017","51.90","51.99","51.69","51.72","51.43","3,727,900","USB"
"59","Nov 24, 2017","52.00","52.07","51.70","51.83","51.54","1,466,900","USB"
"60","Nov 22, 2017","51.87","52.05","51.84","51.91","51.62","4,513,100","USB"
