"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","129.94","131.01","128.92","129.26","129.26","4,759,600","UTX"
"2","Feb 15, 2018","127.99","130.04","127.79","130.00","130.00","4,556,700","UTX"
"3","Feb 15, 2018","0.7 Dividend","0.7 Dividend","0.7 Dividend","0.7 Dividend","0.7 Dividend","0.7 Dividend","UTX"
"4","Feb 14, 2018","124.98","126.80","123.95","126.70","126.00","6,949,700","UTX"
"5","Feb 13, 2018","126.36","126.96","124.97","125.77","125.08","5,067,500","UTX"
"6","Feb 12, 2018","123.07","128.52","123.00","127.38","126.68","9,548,300","UTX"
"7","Feb 09, 2018","129.15","130.04","122.21","125.03","124.34","12,116,600","UTX"
"8","Feb 08, 2018","131.85","132.36","127.37","127.48","126.78","7,357,500","UTX"
"9","Feb 07, 2018","129.39","133.34","129.06","131.97","131.24","7,906,400","UTX"
"10","Feb 06, 2018","124.16","129.81","123.25","129.81","129.09","8,672,800","UTX"
"11","Feb 05, 2018","133.48","134.14","125.90","127.24","126.54","6,913,000","UTX"
"12","Feb 02, 2018","137.44","137.94","134.40","134.61","133.87","4,684,700","UTX"
"13","Feb 01, 2018","136.99","139.00","136.52","138.32","137.56","4,200,300","UTX"
"14","Jan 31, 2018","137.12","138.32","136.55","138.01","137.25","5,909,200","UTX"
"15","Jan 30, 2018","136.00","137.04","135.31","136.50","135.75","3,571,800","UTX"
"16","Jan 29, 2018","138.05","139.24","136.51","136.67","135.91","3,480,400","UTX"
"17","Jan 26, 2018","138.17","138.50","136.68","137.98","137.22","3,203,600","UTX"
"18","Jan 25, 2018","136.83","138.29","136.01","137.75","136.99","4,542,400","UTX"
"19","Jan 24, 2018","135.02","138.38","134.02","135.68","134.93","5,542,000","UTX"
"20","Jan 23, 2018","135.82","136.48","134.50","136.03","135.28","5,727,600","UTX"
"21","Jan 22, 2018","134.97","135.47","133.60","135.21","134.46","4,103,800","UTX"
"22","Jan 19, 2018","135.06","135.90","134.49","135.90","135.15","3,235,300","UTX"
"23","Jan 18, 2018","134.55","135.66","134.36","134.61","133.87","3,208,600","UTX"
"24","Jan 17, 2018","134.66","134.95","132.95","134.42","133.68","3,913,800","UTX"
"25","Jan 16, 2018","137.73","137.73","133.87","133.97","133.23","5,215,900","UTX"
"26","Jan 12, 2018","135.61","136.58","135.23","136.58","135.83","5,214,300","UTX"
"27","Jan 11, 2018","134.75","136.26","134.75","134.99","134.24","4,804,200","UTX"
"28","Jan 10, 2018","134.12","135.49","133.75","134.90","134.15","3,282,900","UTX"
"29","Jan 09, 2018","133.32","134.46","133.03","134.27","133.53","4,231,900","UTX"
"30","Jan 08, 2018","135.19","135.79","132.20","132.82","132.09","6,624,800","UTX"
"31","Jan 05, 2018","131.10","132.36","130.46","131.57","130.84","3,672,400","UTX"
