"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","121.63","122.99","121.57","121.85","121.85","6,298,400","V"
"2","Feb 15, 2018","121.70","122.31","119.97","122.28","122.28","6,921,300","V"
"3","Feb 15, 2018","0.21 Dividend","0.21 Dividend","0.21 Dividend","0.21 Dividend","0.21 Dividend","0.21 Dividend","V"
"4","Feb 14, 2018","117.62","120.95","117.50","120.83","120.62","9,206,400","V"
"5","Feb 13, 2018","117.85","118.80","117.13","118.35","118.14","7,803,900","V"
"6","Feb 12, 2018","117.79","118.84","116.88","118.47","118.26","11,526,300","V"
"7","Feb 09, 2018","114.55","117.21","111.02","116.32","116.12","17,695,500","V"
"8","Feb 08, 2018","119.53","119.82","113.54","113.86","113.66","12,673,400","V"
"9","Feb 07, 2018","120.09","122.46","119.21","119.65","119.44","9,294,000","V"
"10","Feb 06, 2018","115.20","120.30","113.25","119.97","119.76","19,053,300","V"
"11","Feb 05, 2018","118.70","121.13","115.01","116.27","116.07","16,623,900","V"
"12","Feb 02, 2018","123.72","123.72","120.70","120.91","120.70","13,937,700","V"
"13","Feb 01, 2018","124.74","126.26","124.10","125.72","125.50","11,169,700","V"
"14","Jan 31, 2018","123.78","124.48","123.04","124.23","124.01","7,338,200","V"
"15","Jan 30, 2018","123.82","124.29","122.84","123.55","123.34","8,154,400","V"
"16","Jan 29, 2018","126.74","126.88","124.69","124.84","124.62","6,257,900","V"
"17","Jan 26, 2018","125.77","126.38","124.76","126.32","126.10","5,604,900","V"
"18","Jan 25, 2018","125.00","125.47","124.63","125.22","125.00","7,166,400","V"
"19","Jan 24, 2018","125.05","125.45","123.71","124.55","124.33","6,425,200","V"
"20","Jan 23, 2018","124.60","125.51","124.21","124.65","124.43","5,683,300","V"
"21","Jan 22, 2018","122.87","124.33","122.40","124.33","124.11","9,355,000","V"
"22","Jan 19, 2018","123.05","123.65","121.92","122.70","122.49","8,250,700","V"
"23","Jan 18, 2018","122.52","123.20","122.03","123.11","122.90","8,661,000","V"
"24","Jan 17, 2018","121.20","122.16","120.73","121.98","121.77","7,991,500","V"
"25","Jan 16, 2018","121.18","121.94","119.91","120.39","120.18","8,803,800","V"
"26","Jan 12, 2018","120.12","120.35","119.71","120.09","119.88","5,585,800","V"
"27","Jan 11, 2018","118.80","119.98","118.68","119.84","119.63","5,982,100","V"
"28","Jan 10, 2018","118.69","119.05","117.46","118.98","118.77","7,490,300","V"
"29","Jan 09, 2018","119.97","119.97","118.66","119.11","118.90","6,562,400","V"
"30","Jan 08, 2018","118.61","120.48","118.07","119.34","119.13","6,660,700","V"
"31","Jan 05, 2018","116.99","119.00","116.42","118.86","118.65","8,590,500","V"
"32","Jan 04, 2018","116.25","117.36","116.03","116.08","115.88","7,805,300","V"
"33","Jan 03, 2018","114.95","115.79","114.66","115.65","115.45","6,946,100","V"
"34","Jan 02, 2018","114.57","115.08","113.95","114.51","114.31","6,080,900","V"
"35","Dec 29, 2017","114.75","114.89","114.02","114.02","113.82","5,249,000","V"
"36","Dec 28, 2017","114.30","114.92","113.99","114.35","114.15","6,937,100","V"
"37","Dec 27, 2017","112.69","114.07","112.65","114.02","113.82","7,073,100","V"
"38","Dec 26, 2017","112.07","113.44","112.07","112.99","112.79","3,948,900","V"
"39","Dec 22, 2017","112.39","113.11","112.25","112.69","112.49","6,190,100","V"
"40","Dec 21, 2017","112.60","113.10","112.32","112.41","112.21","8,866,400","V"
"41","Dec 20, 2017","112.72","113.10","111.99","112.12","111.93","6,201,900","V"
"42","Dec 19, 2017","113.28","113.28","112.08","112.14","111.95","7,899,400","V"
"43","Dec 18, 2017","114.69","114.75","113.25","113.55","113.35","8,961,800","V"
"44","Dec 15, 2017","113.97","114.20","112.39","113.82","113.62","16,388,000","V"
"45","Dec 14, 2017","113.55","114.09","112.92","112.92","112.72","9,815,600","V"
"46","Dec 13, 2017","113.75","114.37","113.19","113.31","113.11","8,088,900","V"
"47","Dec 12, 2017","112.37","113.73","112.00","113.46","113.26","8,754,400","V"
"48","Dec 11, 2017","112.50","113.35","112.16","112.37","112.17","7,538,600","V"
"49","Dec 08, 2017","112.13","112.61","111.82","112.60","112.40","7,594,900","V"
"50","Dec 07, 2017","109.77","111.41","109.45","111.40","111.21","7,384,900","V"
"51","Dec 06, 2017","108.49","110.17","108.26","109.74","109.55","7,532,100","V"
"52","Dec 05, 2017","108.89","109.24","106.60","108.58","108.39","12,081,500","V"
"53","Dec 04, 2017","111.33","111.45","106.97","107.43","107.24","18,909,100","V"
"54","Dec 01, 2017","112.38","112.44","109.76","110.73","110.54","13,101,800","V"
"55","Nov 30, 2017","110.50","112.59","110.03","112.59","112.39","18,533,300","V"
"56","Nov 29, 2017","113.62","113.62","106.90","109.86","109.67","14,505,400","V"
"57","Nov 28, 2017","112.60","113.62","112.56","113.36","113.16","6,671,300","V"
"58","Nov 27, 2017","112.00","112.54","111.91","112.38","112.18","6,620,500","V"
"59","Nov 24, 2017","111.31","112.16","111.14","111.97","111.78","3,045,600","V"
"60","Nov 22, 2017","111.50","111.66","110.70","110.82","110.63","4,067,600","V"
"61","Nov 21, 2017","110.45","111.49","110.30","111.45","111.26","6,456,500","V"
"62","Nov 20, 2017","109.95","110.68","109.69","109.95","109.76","6,873,200","V"
"63","Nov 17, 2017","110.69","110.91","109.70","109.82","109.63","8,812,400","V"
"64","Nov 16, 2017","110.75","111.44","110.57","111.02","110.83","5,655,100","V"
"65","Nov 16, 2017","0.195 Dividend","0.195 Dividend","0.195 Dividend","0.195 Dividend","0.195 Dividend","0.195 Dividend","V"
"66","Nov 15, 2017","111.34","111.87","110.14","110.25","109.86","6,895,100","V"
"67","Nov 14, 2017","111.08","112.04","110.81","111.98","111.59","5,679,600","V"
